seconds_elapsed,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,accelerometer_z,accelerometer_y,accelerometer_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,magnetometer_z,magnetometer_y,magnetometer_x,microphone_dBFS,gyroscope_z,gyroscope_y,gyroscope_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,class
10,-0.884277919,-0.01859949,0.002978312,0.4665808944174877,-0.012097026,-0.035681058,2.1703473054445706,-0.021520618,0.011711821622716693,8.810296886412499E-4,-141.596613,-25.58034937,-31.51064743,0.009559173,7.017830816599039E-4,-0.007452227,9.935374278466679,0.355171543,0.11261947583226324,9.935374278466679,0.355171543,0.11261947583226324,-92.51650215,-67.46002029,-4.631119914,-58.25,1.1747061552551504E-5,-0.001421395,1.1747062671929598E-4,45,1.5,19.139808654785156,128.8990020751953,1.353075385093689,83.67317199707031,154.29998779296875,-86.9101317,40.4250999,Garage
11,-0.884367031,-0.018541018,0.002951425,0.46641443828934603,-0.012083271,-0.035554794,2.1707259659628266,-0.021563501,0.011966379332238609,8.110035119297942E-4,-141.4735158,-25.54191944,-31.51564932,-0.016693597,-0.003808473,-0.007415459,9.894196769566213,0.3488758651955614,0.11223615951908444,9.894196769566213,0.3488758651955614,0.11223615951908444,-92.39377014,-67.42195618,-4.635511894,-59.44444444,-3.11E-05,-0.001166837,4.7444447296337016E-5,45,1.5,19.139808654785156,128.8990020751953,1.353075385093689,83.67317199707031,154.29998779296875,-86.9101317,40.4250999,Garage
12,-0.884529221,-0.018479962,0.002877902,0.46610970028395793,-0.012144108,-0.035382352,2.1714164817217485,-0.021492334,0.011752879337489027,9.05892400306116E-4,-141.5030394,-25.53716143,-31.43525145,-0.006639147,-5.93E-04,-0.007487314,9.885409549602027,0.34971219156552286,0.1125526860066988,9.885409549602027,0.34971219156552286,0.1125526860066988,-92.42280586,-67.41719902,-4.554137883,-59.125,4.003125240628436E-5,-0.001380337,1.4233334188901105E-4,45,1.5,19.139808654785156,128.8990020751953,1.353075385093689,83.67317199707031,154.29998779296875,-86.9101317,40.4250999,Garage
13,-0.884558722,-0.018381569,0.002911705,0.46605738592379303,-0.011990319,-0.035240501,2.1715401353187933,-0.021409306,0.012025685,8.110035085390566E-4,-141.4881546,-25.54557943,-31.45318539,-0.005860199,-0.003058665,-0.009065479,9.870218011049124,0.34497485180886894,0.11007271768399872,9.870218011049124,0.34497485180886894,0.11007271768399872,-92.40804413,-67.42500664,-4.573535893,-57.33333333,1.2305903460975122E-4,-0.001107531,4.7444447296337016E-5,45,1.5,19.139808654785156,128.8990020751953,1.353075385093689,83.67317199707031,154.29998779296875,-86.9101317,40.4250999,Garage
14,-0.884187698,-0.018322984,0.003101006,0.46676087437324154,-0.011628932,-0.035304476,2.1699551517523608,-0.021385584,0.01155124,8.46586860964997E-4,-140.9766096,-25.69893341,-31.12329727,0.033090517358872494,9.427582754672153E-4,-0.008230568,9.926668278221944,0.35180010172782594,0.10712817888164404,9.926668278221944,0.35180010172782594,0.10712817888164404,-91.89686424,-67.57848289,-4.243281937,-16.625,1.4678125599742802E-4,-0.001581976,8.302781441547338E-5,45,1.5,19.139808654785156,128.8990020751953,1.353075385093689,83.67317199707031,154.29998779296875,-86.9101317,40.4250999,Garage
15,-0.883684484,-0.01832415,0.003153472,0.46771343616605965,-0.011575095,-0.035342741,2.1678009218382606,-0.021361862,0.011883351457354984,7.516979471581436E-4,-141.4526529,-25.6595274,-31.44818342,0.006837613,0.005032697,-0.007406384,9.931642726787086,0.35480565107563167,0.10645737611316823,9.931642726787086,0.35480565107563167,0.10645737611316823,-92.37241989,-67.53907692,-4.567923923,-24.77777778,1.705034813409653E-4,-0.001249865,-1.19E-05,45,1.5,7.536870002746582,61.62200164794922,0.5158981084823608,276.17974853515625,155.6999969482422,-86.9105352,40.425088,Garage
16,-0.883375694,-0.018393072,0.003176329,0.46829359045306457,-0.011622516,-0.035478352,2.166484633695732,-0.02133814,0.011563101449407167,8.110035045831961E-4,-141.4100751,-25.62463554,-31.50393726,-0.013436225,-0.001584214,-0.009959648,9.914800023569644,0.34999096538256674,0.10649512767864083,9.914800023569644,0.34999096538256674,0.10649512767864083,-92.32971916,-67.5046727,-4.623555918,-16.88888889,1.942257044240109E-4,-0.001570115,4.7444438254370276E-5,45,1.5,7.536870002746582,61.62200164794922,0.5158981084823608,276.17974853515625,155.6999969482422,-86.9105352,40.425088,Garage
17,-0.883112916,-0.018386963,0.003017427,0.4687902732537343,-0.011917525,-0.035311954,2.165356383873866,-0.021497124,0.011782303955092525,7.870532471525411E-4,-141.4611932,-25.63927553,-31.48380739,-0.020384009,-0.004088013,-0.008770818,9.875948628175605,0.346645661,0.1079180430286356,9.875948628175605,0.346645661,0.1079180430286356,-92.38144753,-67.5196788,-4.602571907,-21.625,3.5241184097965466E-5,-0.001350912,2.3494152208933465E-5,45,1.5,7.536870002746582,61.62200164794922,0.5158981084823608,276.17974853515625,155.6999969482422,-86.9105352,40.425088,Garage
18,-0.883025793,-0.018335519,0.002779328,0.4689574658292011,-0.012296666,-0.034995621,2.1649745505990334,-0.021421167,0.011646129,8.94031294698384E-4,-141.3979968,-25.62695349,-31.53333941,0.004925413,0.002938495,-0.015852511,9.887680396292973,0.3490036368659399,0.10565880114592395,9.887680396292973,0.3490036368659399,0.10565880114592395,-92.31825172,-67.5068689,-4.653323889,-13.88888889,1.1119791713443774E-4,-0.001487087,1.3047224814886029E-4,45,1.5,7.536870002746582,61.62200164794922,0.5158981084823608,276.17974853515625,155.6999969482422,-86.9105352,40.425088,Garage
19,-0.882682075,-0.018311212,0.002533974,0.46960644438428784,-0.012732739,-0.034713015,2.163499644659098,-0.021266973,0.011729157020595576,-7.41E-06,-141.433622,-25.59145151,-31.54151335,0.035093779702788416,0.002255897,-0.015564818,9.931056124492756,0.34598357,0.11042121497098158,9.931056124492756,0.34598357,0.11042121497098158,-92.35338844,-67.47197716,-4.663205886,-28,2.653923748033935E-4,-0.001404059,-7.71E-04,45,1.5,7.536870002746582,61.62200164794922,0.5158981084823608,276.17974853515625,155.6999969482422,-86.9105352,40.425088,Garage
20,-0.882434736,-0.017958072,0.002735824,0.47008385675624736,-0.012062643,-0.034272542,2.1624384852288996,-0.021243251,0.011480073770056071,6.44947936220402E-4,-141.5670898,-25.63049156,-31.40572739,0.013351949673254513,0.002658176,-0.012100997,9.936744912156781,0.34296350253438485,0.10756957429705315,9.936744912156781,0.34296350253438485,0.10756957429705315,-92.48685608,-67.51052864,-4.525711889,-32.11111111,2.891146001469308E-4,-0.001653142,-1.19E-04,45,1.5,4.867705345153809,74.64099884033203,2.561185836791992,256.1792297363281,155.6999969482422,-86.9107176,40.4250521,Garage
21,-0.882269336,-0.017905466,0.002874887,0.4703954909611674,-0.011779671,-0.034306288,2.1617374072954494,-0.021290695,0.011622407098382134,9.177535030882335E-4,-141.4596071,-25.60377348,-31.39779745,-0.015495087,-0.002769419,-0.009249854,9.910700422066908,0.3386821885808156,0.10752746767292802,9.910700422066908,0.3386821885808156,0.10752746767292802,-92.37949593,-67.48307816,-4.517781878,-28.5,2.4167015228547084E-4,-0.001510809,1.541944537130953E-4,45,1.5,4.867705345153809,74.64099884033203,2.561185836791992,256.1792297363281,155.6999969482422,-86.9107176,40.4250521,Garage
22,-0.882520667,-0.017822854,0.00275235,0.4699276260380606,-0.011900099,-0.034051484,2.162799228742285,-0.021385584,0.011503795975620307,8.228646158421575E-4,-141.4877898,-25.60914141,-31.44025345,-0.013839231,-0.002559681,-0.00789736,9.876813934844675,0.33341834614577803,0.10978525884232475,9.876813934844675,0.33341834614577803,0.10978525884232475,-92.40767792,-67.48978874,-4.559993887,-33.44444444,1.4678125712767388E-4,-0.00162942,5.930555912042127E-5,45,1.5,4.867705345153809,74.64099884033203,2.561185836791992,256.1792297363281,155.6999969482422,-86.9107176,40.4250521,Garage
