seconds_elapsed,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,accelerometer_z,accelerometer_y,accelerometer_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,gyroscope_z,gyroscope_y,gyroscope_x,magnetometer_z,magnetometer_y,magnetometer_x,microphone_dBFS,class
10,-0.164252607,0.003059132,-0.016124611,0.9862817588907021,7.377068630795783E-4,0.032817662,0.3300333177814117,9.902060638353662,-0.326335708,-0.018123308,9.902060638353662,-0.326335708,-0.018123308,0,1.5,1,16.597000122070312,0.029826756566762924,0,149.39999389648438,-86.9109896,40.4279961,0.007118665,-0.001675196,-0.010549219,-0.021555859,0.012451886611345869,8.457884894316801E-4,-111.4089339,31.87957529067993,-59.05019505,-2.35E-05,-0.002208448,2.3494121426035865E-4,-70.42889122,34.09985336303711,-10.8098098,-121.4444444,Classroom
11,-0.164200544,0.002992351,-0.016038701,0.9862920219458423,6.358764118523997E-4,0.032626179,0.3299289487519311,9.909590443361152,-0.324564323,-0.017423466,9.909590443361152,-0.324564323,-0.017423466,0,1.5,1,16.597000122070312,0.029826756566762924,0,149.39999389648438,-86.9109896,40.4279961,0.002136055,-0.001095817,-0.011051955,-0.021563501,0.012547573852307588,0.001107531,-111.508974,31.955947456359862,-59.06141891,-3.11E-05,-0.002112761,4.9668403672398E-4,-70.52868637,34.17549308776856,-10.82078977,-104.75,Classroom
12,-0.164146696,0.002951654,-0.015922509,0.9863030013528843,5.955051964723044E-4,0.032383507931406055,0.32981983174398105,9.902594936704173,-0.320713736,-0.017101132,9.902594936704173,-0.320713736,-0.017101132,0,1.5,1,16.597000122070312,0.029826756566762924,0,149.39999389648438,-86.9109896,40.4279961,-0.002057076,2.6593393492467196E-4,-0.011128181,-0.021539778,0.012689907176112666,8.584479507492874E-4,-111.5281281,31.87066915512085,-59.0547089,-7.41E-06,-0.001970427,2.476006714645231E-4,-70.54796272,34.09058147,-10.81420182,-122.8888889,Classroom
13,-0.164151848,0.002974034,-0.01593481,0.9863018740728063,6.354655527952806E-4,0.032415136,0.32982970701838005,9.901642410500536,-0.320086492,-0.016752662,9.901642410500536,-0.320086492,-0.016752662,0,1.5,1,16.597000122070312,0.029826756566762924,0,149.39999389648438,-86.9109896,40.4279961,-0.001044977,0.001143256,-0.010384921,-0.021693973,0.012808518267227608,9.933679909400135E-5,-111.4970176,31.861519317626954,-59.00932514,-1.62E-04,-0.001851816,-5.12E-04,-70.51673119,34.081187324523924,-10.76979369,-127.125,Classroom
14,-0.16401115,0.002924059,-0.015941409,0.9863253287898684,5.392851288208865E-4,0.032411666,0.3295459478225523,9.905080702698346,-0.320992512,-0.015684023,9.905080702698346,-0.320992512,-0.015684023,0,1.5,1,16.597000122070312,0.029826756566762924,0,149.39999389648438,-86.9109896,40.4279961,0.001367708,2.356238156846426E-4,-0.010267649,-0.021492334,0.012725490452812134,9.889201825095829E-4,-111.5273963,31.885553245544433,-59.09167488,4.0031251276038514E-5,-0.001934844,3.7807289418285186E-4,-70.54710838,34.10546527862549,-10.8511677,-127.5555556,Classroom
15,-0.164279848,0.002905863,-0.01585178,0.9862820668127931,5.240213954096458E-4,0.032229012,0.33009062519351257,9.907853172375606,-0.319568365,-0.016442028,9.907853172375606,-0.319568365,-0.016442028,0,1.5,1,172.71600341796875,0.027054209262132645,0,149.39999389648438,-86.9109895,40.4279936,0.002206775,-9.90E-05,-0.0110454,-0.021492334,0.012903407175383233,8.465868502276615E-4,-111.5979116,31.88225929260254,-59.08154877,4.003125579702189E-5,-0.001756927,2.3573960089441208E-4,-70.61799057,34.10253734588623,-10.84226177,-117,Classroom
16,-0.164582251,0.002940417,-0.015850688,0.9862315834147258,5.826917895143037E-4,0.032238391,0.33070293589703087,9.945755801154572,-0.317966636,-0.016168976,9.945755801154572,-0.317966636,-0.016168976,0,1.5,1,172.71600341796875,0.027054209262132645,0,149.39999389648438,-86.9109895,40.4279936,0.019799566,0.00203466,-0.010894203,-0.021741418,0.012761074,5.50059041062605E-4,-111.5139762,31.92105531692505,-59.12729885,-2.09E-04,-0.001899261,-6.08E-05,-70.53417625,34.140601348876956,-10.88752377,-102.1111111,Classroom
17,-0.164432092,0.002866797,-0.015492486,0.98626256,5.601799546162263E-4,0.031507324,0.3303970460174153,9.961529879894071,-0.313326187,-0.015219397,9.961529879894071,-0.313326187,-0.015219397,0,1.5,1,172.71600341796875,0.027054209262132645,0,149.39999389648438,-86.9109895,40.4279936,0.008589948,6.669282334522136E-4,-0.009080154,-0.021409306,0.012903407207030116,8.46586860964997E-4,-111.5090957,31.897387371063232,-59.02237881,1.2305902782827616E-4,-0.001756927,2.3573954777285746E-4,-70.52917442,34.117177391052245,-10.78211579,-123.125,Classroom
18,-0.164483435,0.002924586,-0.015465634,0.9862542563271754,6.814258516702837E-4,0.031473383379792705,0.33049917423609393,9.959491359,-0.313465576,-0.017449601,9.959491359,-0.313465576,-0.017449601,0,1.5,1,172.71600341796875,0.027054209262132645,0,149.39999389648438,-86.9109895,40.4279936,-6.44E-05,1.464726276768064E-4,-0.01061174,-0.021622806,0.012974573859890688,5.026145858545471E-4,-111.4945778,31.907513275146485,-59.07178875,-9.04E-05,-0.001685761,-1.08E-04,-70.51477875,34.12766948699951,-10.8320138,-127.3333333,Classroom
19,-0.164535937,0.002964333,-0.01556412,0.9862438319967344,7.257605466293171E-4,0.031680815,0.330605421,9.945988090292921,-0.316462411,-0.017705145,9.945988090292921,-0.316462411,-0.017705145,0,1.5,1,172.71600341796875,0.027054209262132645,0,149.39999389648438,-86.9109895,40.4279936,-0.007079299,-8.55E-04,-0.010418039,-0.021532365,0.012804298455683658,7.635590451312824E-4,-111.5377657,31.91312520980835,-59.08069477,-2.80E-12,-0.001856036,1.5271176604213766E-4,-70.55784531,34.133281517028806,-10.84128581,-128.875,Classroom
20,-0.16438133,0.002910196,-0.015450051,0.9862715659789669,6.614113435628417E-4,0.031437836,0.3302923574030978,9.946130447017337,-0.313140338,-0.016984975,9.946130447017337,-0.313140338,-0.016984975,0,1.5,1,172.71600341796875,0.027054209262132645,0,149.39999389648438,-86.9109895,40.4279936,9.094997517113546E-4,-2.61E-04,-0.01033237,-0.021516056,0.012784796034537473,8.465868360995885E-4,-111.4937238,31.84895341873169,-59.0730088,1.6309025932501242E-5,-0.001875538,2.3573955624970128E-4,-70.51380272,34.06910957336426,-10.83274573,-129.3333333,Classroom
21,-0.164538776,0.00295818,-0.015465582,0.9862448926110869,7.459543070651916E-4,0.031484395229411356,0.3306104254375384,9.94845357,-0.313755967,-0.018675052,9.94845357,-0.313755967,-0.018675052,0,1.5,1,172.71600341796875,0.027054209262132645,0,149.39999389648438,-86.9109895,40.4279936,8.825283606075546E-4,-3.52E-04,-0.011186655,-0.021504195,0.012796657168966474,6.212257289607982E-4,-111.495066,31.854077339172363,-59.01139896,2.8170140582200103E-5,-0.001863677,1.0378491495130132E-5,-70.51526688,34.07435523986816,-10.77150172,-109.2222222,Classroom
22,-0.164769968,0.002924559,-0.015499355,0.9862058943915135,6.611074625573221E-4,0.031540105354438706,0.3310807208413059,9.944478072,-0.316323023,-0.016915281,9.944478072,-0.316323023,-0.016915281,0,1.5,1,172.71600341796875,0.027054209262132645,0,149.39999389648438,-86.9109895,40.4279936,-0.002427601,-0.002373053,-0.010264605,-0.021587223,0.012737351623409002,0.001178698,-111.452244,31.845415420532227,-59.04751083,-5.49E-05,-0.001922983,5.678506794123395E-4,-70.47207924,34.06508343,-10.80785772,-128.625,Classroom
