latitude,longitude,flight_id
33.0,-117.63333333333334,36
33.0,-116.44444444444444,11
33.0,-116.33333333333333,11
33.01111111111111,-117.65555555555555,11
33.01111111111111,-117.64444444444445,24
33.01111111111111,-117.37777777777778,20
33.01111111111111,-116.44444444444444,23
33.022222222222226,-117.66666666666667,23
33.022222222222226,-117.38888888888889,21
33.022222222222226,-116.43333333333334,24
33.03333333333333,-117.68888888888888,11
33.03333333333333,-117.67777777777778,21
33.03333333333333,-117.4,19
33.03333333333333,-116.43333333333334,11
33.03333333333333,-116.42222222222222,13
33.044444444444444,-117.7,24
33.044444444444444,-117.41111111111111,13
33.044444444444444,-116.42222222222222,29
33.05555555555556,-117.71111111111111,19
33.05555555555556,-117.41111111111111,13
33.05555555555556,-116.41111111111111,19
33.06666666666667,-117.73333333333333,22
33.06666666666667,-117.42222222222222,16
33.06666666666667,-116.41111111111111,19
33.077777777777776,-117.74444444444444,22
33.077777777777776,-117.43333333333334,18
33.077777777777776,-116.4,20
33.08888888888889,-117.75555555555556,18
33.08888888888889,-117.44444444444444,16
33.08888888888889,-116.4,12
33.1,-117.76666666666667,24
33.1,-117.45555555555555,14
33.1,-116.38888888888889,20
33.111111111111114,-117.77777777777777,26
33.111111111111114,-117.46666666666667,12
33.111111111111114,-117.45555555555555,11
33.111111111111114,-116.37777777777778,13
33.12222222222222,-117.78888888888889,22
33.12222222222222,-117.46666666666667,18
33.12222222222222,-116.37777777777778,20
33.13333333333333,-117.8,13
33.13333333333333,-117.47777777777777,22
33.13333333333333,-116.36666666666666,18
33.144444444444446,-117.81111111111112,23
33.144444444444446,-117.4888888888889,21
33.144444444444446,-116.36666666666666,20
33.15555555555556,-117.82222222222222,22
33.15555555555556,-117.5,27
33.15555555555556,-116.35555555555555,22
33.166666666666664,-117.83333333333333,19
33.166666666666664,-117.5111111111111,24
33.17777777777778,-117.84444444444445,17
33.17777777777778,-117.52222222222223,26
33.17777777777778,-116.34444444444445,22
33.18888888888889,-117.85555555555555,18
33.18888888888889,-117.54444444444445,12
33.18888888888889,-117.53333333333333,22
33.18888888888889,-116.33333333333333,17
33.2,-117.86666666666666,24
33.2,-117.55555555555556,12
33.2,-117.54444444444445,24
33.2,-117.1,11
33.2,-116.33333333333333,23
33.21111111111111,-117.87777777777778,16
33.21111111111111,-117.56666666666666,13
33.21111111111111,-117.55555555555556,22
33.21111111111111,-116.32222222222222,21
33.22222222222222,-117.88888888888889,14
33.22222222222222,-117.57777777777778,16
33.22222222222222,-117.56666666666666,21
33.22222222222222,-116.32222222222222,16
33.233333333333334,-117.9,16
33.233333333333334,-117.58888888888889,19
33.233333333333334,-117.57777777777778,17
33.233333333333334,-116.31111111111112,24
33.24444444444445,-117.91111111111111,13
33.24444444444445,-117.6,21
33.24444444444445,-117.58888888888889,13
33.24444444444445,-116.3,17
33.25555555555555,-117.92222222222222,11
33.25555555555555,-117.61111111111111,22
33.25555555555555,-117.6,14
33.25555555555555,-116.3,24
33.266666666666666,-117.93333333333334,13
33.266666666666666,-117.62222222222222,26
33.266666666666666,-117.61111111111111,11
33.266666666666666,-116.28888888888889,19
33.27777777777778,-117.63333333333334,29
33.27777777777778,-116.28888888888889,15
33.28888888888889,-117.64444444444445,29
33.28888888888889,-116.27777777777777,21
33.3,-117.96666666666667,13
33.3,-117.65555555555555,29
33.3,-116.27777777777777,13
33.3,-116.26666666666667,14
33.31111111111111,-117.66666666666667,28
33.31111111111111,-116.26666666666667,25
33.32222222222222,-117.67777777777778,25
33.32222222222222,-116.25555555555556,25
33.333333333333336,-117.7,11
33.333333333333336,-117.68888888888888,24
33.333333333333336,-116.25555555555556,11
33.333333333333336,-116.24444444444444,16
33.34444444444444,-117.7,25
33.34444444444444,-116.24444444444444,12
33.34444444444444,-116.23333333333333,26
33.355555555555554,-117.71111111111111,28
33.355555555555554,-116.22222222222223,21
33.355555555555554,-116.21111111111111,14
33.36666666666667,-117.73333333333333,13
33.36666666666667,-117.72222222222223,27
33.36666666666667,-116.2,22
33.37777777777778,-117.74444444444444,19
33.37777777777778,-117.73333333333333,20
33.37777777777778,-116.18888888888888,17
33.37777777777778,-116.17777777777778,19
33.388888888888886,-117.75555555555556,18
33.388888888888886,-117.74444444444444,18
33.388888888888886,-116.16666666666667,25
33.388888888888886,-116.15555555555555,17
33.4,-117.76666666666667,22
33.4,-117.75555555555556,12
33.4,-116.14444444444445,24
33.41111111111111,-117.77777777777777,26
33.41111111111111,-116.13333333333334,13
33.41111111111111,-116.12222222222222,19
33.41111111111111,-116.11111111111111,11
33.422222222222224,-117.78888888888889,23
33.422222222222224,-116.11111111111111,15
33.422222222222224,-116.1,24
33.43333333333333,-117.8,20
33.43333333333333,-116.08888888888889,23
33.43333333333333,-116.07777777777778,13
33.44444444444444,-117.81111111111112,17
33.44444444444444,-117.8,17
33.44444444444444,-116.06666666666666,22
33.455555555555556,-117.82222222222222,22
33.455555555555556,-117.81111111111112,17
33.455555555555556,-116.05555555555556,13
33.455555555555556,-116.04444444444445,24
33.46666666666667,-118.0,15
33.46666666666667,-117.83333333333333,15
33.46666666666667,-117.82222222222222,17
33.46666666666667,-116.03333333333333,24
33.46666666666667,-116.02222222222223,20
33.477777777777774,-117.83333333333333,14
33.477777777777774,-117.75555555555556,11
33.477777777777774,-116.0111111111111,24
33.477777777777774,-116.0,32
33.5,-117.87777777777778,11
33.5,-117.84444444444445,22
33.5,-117.18888888888888,12
33.5,-117.16666666666667,14
33.5,-117.13333333333334,12
33.51111111111111,-117.88888888888889,13
33.51111111111111,-117.85555555555555,16
33.51111111111111,-117.3,11
33.51111111111111,-117.27777777777777,13
33.51111111111111,-117.24444444444444,13
33.522222222222226,-117.9,14
33.522222222222226,-117.35555555555555,16
33.522222222222226,-117.32222222222222,11
33.53333333333333,-117.91111111111111,13
33.53333333333333,-117.86666666666666,13
33.53333333333333,-117.45555555555555,11
33.544444444444444,-117.87777777777778,17
33.55555555555556,-117.88888888888889,12
33.56666666666667,-117.88888888888889,20
33.577777777777776,-117.96666666666667,13
33.577777777777776,-117.9,18
33.6,-118.0,21
33.6,-117.91111111111111,21
33.611111111111114,-118.0,14
33.611111111111114,-117.92222222222222,18
33.611111111111114,-116.37777777777778,15
33.611111111111114,-116.34444444444445,15
33.611111111111114,-116.32222222222222,14
33.611111111111114,-116.3,11
33.611111111111114,-116.28888888888889,13
33.611111111111114,-116.26666666666667,16
33.611111111111114,-116.24444444444444,12
33.611111111111114,-116.22222222222223,12
33.611111111111114,-116.21111111111111,16
33.611111111111114,-116.18888888888888,15
33.611111111111114,-116.17777777777778,12
33.611111111111114,-116.16666666666667,12
33.611111111111114,-116.15555555555555,11
33.611111111111114,-116.13333333333334,11
33.62222222222222,-116.4888888888889,11
33.62222222222222,-116.47777777777777,11
33.62222222222222,-116.45555555555555,12
33.62222222222222,-116.43333333333334,12
33.62222222222222,-116.4,11
33.63333333333333,-117.93333333333334,18
33.63333333333333,-116.61111111111111,12
33.63333333333333,-116.6,13
33.63333333333333,-116.58888888888889,14
33.63333333333333,-116.57777777777778,11
