seconds_elapsed,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,gyroscope_z,gyroscope_y,gyroscope_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,magnetometer_z,magnetometer_y,magnetometer_x,microphone_dBFS,accelerometer_z,accelerometer_y,accelerometer_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,class
11,10.06534801,-0.251735299,0.073320456,-0.002732502,0.01445573,-0.012483823,-0.023971305,0.030201357,-0.012274768,45,1.5,5.273110867,10.85000038,2.009584427,0.322970569,154.5999908,-86.9103091,40.4234458,-43.88315498,22.24840754,-1.329189978,-24.11111111,0.144826621,-0.120987383,-0.00774341,-0.055172199,-0.004187463,-0.006181269,0.997960346,-0.009633505,0.011981227,0.110469145,-102.7424199,76.00843872,-30.06885134,10.06534801,-0.251735299,0.073320456,Campus
12,9.820835308,-0.298699186,0.395178729,0.002584241,0.029187231,-0.024878681,-0.018645667,0.044932858,-0.024684455,45,1.5,5.283140182,10.37199974,2.069635391,6.803235054,154.5999908,-86.9102993,40.4234661,-44.58977917,22.57695356,-1.026385974,-16.625,-0.104259667,-0.031830173,0.303977773,-0.033765523,-0.004107373,-0.013685419,0.998998889,-0.009350573,0.027408799,0.067631297,-103.4502641,76.33698479,-29.76641348,9.820835308,-0.298699186,0.395178729,Campus
13,9.773841284,0.037962834,-1.736924979,0.044101095,0.194222741,0.08246438,0.02285636,0.209999502,0.082679362,45,1.5,5.293126106,9.491000175,2.088451624,8.954950333,154.5999908,-86.9102929,40.4234855,-43.65037922,20.55663366,9.638731869,-17,0.033463807,0.073377373,0.178241025,0.005298871,0.097247188,-9.82E-04,0.994345242,0.194830102,0.001074223,-0.010113967,-102.5114739,74.3172747,-19.10153957,9.773841284,0.037962834,-1.736924979,Campus
14,9.894112518,-0.355357394,-0.937800632,-0.102140482,-0.169521976,-0.091965129,-0.123367424,-0.15378821,-0.091782767,45,1.5,19.83735275,8.873000145,2.031344652,8.684417725,166,-86.9102895,40.4235032,-43.48433708,23.89089361,2.733897939,-42.55555556,0.011532621,0.041268937,-0.069770942,-0.042209941,0.045962795,-0.018026243,0.997258979,0.090200038,0.03931417,0.083655225,-102.3444561,77.65129044,-26.00527557,9.894112518,-0.355357394,-0.937800632,Campus
15,9.860915054,-0.489236397,-0.311868424,-0.03695181,0.060026123,0.032434212,-0.058178753,0.075782127,0.032638814,45,1.5,19.84734344,8.487999916,1.849878907,6.517203331,166,-86.9102894,40.4235171,-42.24664722,26.34101952,-2.673385953,-46.75,-0.092807071,0.008601164,-0.028929465,-0.083597508,0.015397928,-0.023826054,0.995717137,0.027172629,0.05018583,0.16706079,-101.1061556,80.10031822,-31.41329132,9.860915054,-0.489236397,-0.311868424,Campus
16,9.679586156,-0.758966178,-0.935152261,0.098356685,-9.40E-05,-0.040174955,0.077119467,0.015651494,-0.039975254,45,1.5,19.85735512,8.039999962,1.594774365,3.018609762,166,-86.9102915,40.423527,-42.8065052,26.85463947,3.122589941,-34.33333333,-0.112216963,-0.11898081,0.174098944,-0.052474205,0.057307451,-0.03074492,0.99614851,0.111372298,0.067492413,0.101516127,-101.6662582,80.61430473,-25.6174375,9.679586156,-0.758966178,-0.935152261,Campus
17,9.623944283,-0.715938919,-1.31583176,-0.081024738,0.064568928,0.019968181,-0.102266509,0.08032345,0.020177234,45,1.5,19.86734581,7.915999889,1.44884479,358.5793762,166,-86.9102949,40.4235376,-41.50147114,25.20556547,5.9740959,-35.625,-0.180312782,0.07233496,0.037083646,-0.011543897,0.068780165,-0.038769914,0.995797927,0.137165341,0.079338807,0.018040844,-100.3622002,78.96584061,-22.76580952,9.623944283,-0.715938919,-1.31583176,Campus
18,10.01105307,-1.453410341,-1.522883515,0.072757545,-0.024958744,0.014405321,0.051500949,-0.009189395,0.014611407,45,1.5,19.87733078,7.637000084,1.214235783,337.0387268,166,-86.9103107,40.4235421,-39.9401152,30.0077294,4.018313932,-30.11111111,0.199023876,-0.157772384,-0.357625929,-0.023251394,0.060071635,-0.063532451,0.995315652,0.118196079,0.130239617,0.039340561,-98.79986832,83.76678482,-24.72281147,10.01105307,-1.453410341,-1.522883515,Campus
19,9.650491849,-0.547175235,-1.008751883,0.052716712,-0.063846884,0.006778623,0.031479392,-0.048079016,0.006981748,45,1.5,5.914306641,6.74849987,1.167893469,324.6212769,154.5999908,-86.91032795,40.4235522,-43.10028103,26.33064955,5.861611876,-33.25,-0.201867784,-0.101940558,0.234071428,0.002119972,0.062428303,-0.022449278,0.997432297,0.125400954,0.044821158,-0.006755349,-101.9600336,80.09092445,-22.87756155,9.650491849,-0.547175235,-1.008751883,Campus
20,10.08883426,-0.424990279,-0.757035071,-0.082984788,-0.010001882,0.049205822,-0.104211729,0.005748191,0.049407461,45,1.5,5.924317837,5.772999763,1.116086483,323.4144897,154.5999908,-86.9103396,40.423562,-44.89465721,26.0856735,2.775865939,-37.55555556,0.193577123,-0.039134151,-0.096539838,-0.013007112,0.032873213,-0.019226169,0.998274147,0.066646715,0.038934252,0.024714225,-103.7544102,79.84460655,-25.9639175,10.08883426,-0.424990279,-0.757035071,Campus
21,9.868943943,-0.223915859,-1.194547682,0.116246309,0.045875815,-0.009162709,0.095007505,0.061618475,-0.008981827,45,1.5,5.924317837,5.772999763,1.116086483,323.4144897,154.5999908,-86.9103396,40.423562,-45.60311096,21.35036549,6.588365879,-43.5,0.063999977,-0.137580598,0.112657961,0.025015155,0.065943561,-0.006427071,0.996973699,0.132877008,0.009143938,-0.05089597,-104.4624976,75.11039642,-22.15300352,9.868943943,-0.223915859,-1.194547682,Campus
22,9.795658371,-0.162964575,-1.624767232,0.076292155,-0.064906968,-0.114975687,0.055059283,-0.049164308,-0.114805184,45,1.5,5.9342556,5.017000198,1.022203565,319.8648071,154.5999908,-86.910348,40.423566,-43.77957718,21.2627696,7.454443874,-45.66666667,-0.032945763,0.104976061,-0.121262736,0.045375434,0.075493768,-0.015734123,0.995297016,0.153307819,0.023902269,-0.093036353,-102.6390858,75.02267868,-21.28729162,9.795658371,-0.162964575,-1.624767232,Campus
23,10.06255973,-0.724215073,0.031553896,-0.1016349,-0.07322161,0.008925487,-0.122869256,-0.057478947,0.009119713,45,1.5,5.954334259,4.147999763,0.639253497,296.5960083,154.5999908,-86.9103532,40.4235589,-42.31569912,25.95452353,0.400891994,-45.75,0.191574166,0.146133681,0.034314942,0.058216577,-0.003168579,-0.044718425,0.996818281,-4.95E-04,0.08960394,-0.116665023,-101.17655,79.71418869,-28.33937946,10.06255973,-0.724215073,0.031553896,Campus
24,9.471474411,-0.443072926,-1.653184909,-0.094025998,0.201244517,0.052194821,-0.115254422,0.217042037,0.052381634,45,1.5,11.13858414,3.963000059,0.551927447,305.1429443,154.5,-86.9103564,40.4235635,-41.16121315,23.38410551,5.002243913,-43.33333333,-0.244877982,0.138193008,0.15319799,-0.015189051,0.08927582,-0.029902353,0.993601712,0.178742476,0.061128109,0.024463785,-100.0206001,77.14425858,-23.73790552,9.471474411,-0.443072926,-1.653184909,Campus
25,9.660182184,-0.722237504,-1.618242148,-0.045717173,-0.024982466,-0.079178852,-0.066944115,-0.009235358,-0.079018727,45,1.5,11.14850235,3.884000063,0.520235002,313.8245544,154.5,-86.9103593,40.4235686,-40.82278511,23.77804359,4.591347919,-39.77777778,-0.116136292,-0.113062552,-0.047689382,-0.040549975,0.081758119,-0.026693464,0.995005351,0.162123519,0.059336074,0.076329051,-99.68241623,77.53746468,-24.14867952,9.660182184,-0.722237504,-1.618242148,Campus
26,9.712620999,-0.241375983,-0.943541662,0.040268931,-0.227138268,0.161898018,0.019041989,-0.2113928,0.162110934,45,1.5,11.15843964,3.874000072,0.529702127,314.4882813,154.5,-86.9103639,40.423573,-41.97165924,22.82095356,-0.043310001,-26.375,-0.140645229,-0.170623399,-0.132578908,-0.088100722,0.042054154,1.99E-04,0.994441867,0.083503088,0.007449218,0.175299927,-100.8310461,76.58110634,-28.78260536,9.712620999,-0.241375983,-0.943541662,Campus
27,9.960766019,0.118613148,0.934571476,0.08308264,-8.14E-04,-0.068100573,0.061855698,0.014940552,-0.067924139,45,1.5,11.16846657,3.849999905,0.607980728,315.8618469,154.5,-86.9103703,40.4235787,-42.09927124,21.95524145,-6.790031857,-30.11111111,0.080794983,-0.055739981,0.070239938,-0.061235616,-0.044288509,0.006064366,0.99658878,-0.087272157,-0.017598767,0.1219012,-100.9592683,75.71490654,-35.53079144,9.960766019,0.118613148,0.934571476,Campus
28,9.980669387,-0.103326957,1.188262945,-0.102994481,-0.030829995,-0.011997514,-0.124221424,-0.015087334,-0.011813667,45,1.5,11.17847347,3.895999908,0.769156277,323.0694885,154.5,-86.9103768,40.4235876,-41.94652714,23.77328548,-7.957815833,-31.125,0.101624646,-0.093726226,0.142190697,-0.065770131,-0.052854893,-0.003863759,0.995901218,-0.105518577,9.18E-04,0.132121501,-100.8068903,77.53417053,-36.69759945,9.980669387,-0.103326957,1.188262945,Campus
29,10.03348864,-0.001091872,0.671947579,0.024763035,0.070843457,-0.009293181,0.003522748,0.086602428,-0.009107852,45,1.5,10.94694233,4.143000126,1.234469056,332.1800232,166,-86.9103917,40.4236129,-42.92691925,24.9603455,-9.294203815,-31.33333333,0.142518544,0.01071463,-0.039691256,-0.114601732,-0.035907936,-0.004341979,0.991966061,-0.071834006,0.001151159,0.230365131,-101.7872822,78.72000954,-38.03301121,10.03348864,-0.001091872,0.671947579,Campus
30,10.17238853,-0.231569478,0.479714481,0.005316744,0.062943954,-0.059335213,-0.015917612,0.078689582,-0.059154332,45,1.5,10.94694233,4.143000126,1.234469056,332.1800232,166,-86.9103917,40.4236129,-46.64840714,31.34850943,-7.142977839,-25.875,0.261414935,0.014380186,0.141215082,-0.069733891,-0.016361982,-0.013243205,0.996746104,-0.034157458,0.024799178,0.140067149,-105.509014,85.10756424,-35.88276119,10.17238853,-0.231569478,0.479714481,Campus
31,10.03291554,0.309232062,0.00161343,0.029861832,0.028273924,0.127655216,0.008623028,0.044022517,0.127873164,45,1.5,10.96697712,4.552000046,1.1692729,338.473938,166,-86.910394,40.423624,-61.13663876,36.89804537,-15.79265569,-20.11111111,0.075927633,-0.086432204,0.044620384,-0.064024863,-1.16E-04,0.020729162,0.996690634,0.003955686,-0.041337976,0.128278313,-119.9965135,90.65746613,-44.53195114,10.03291554,0.309232062,0.00161343,Campus
32,9.398934753,0.663192285,0.094499076,0.009073749,-0.07067147,-0.058694711,-0.012169502,-0.054933257,-0.0585079,45,1.5,10.97694111,4.900000095,1.331714988,343.9319153,166,-86.9103973,40.4236396,-78.43172478,12.58844776,-25.89059554,-25.88888889,-0.491076895,0.043241391,-0.177006918,-0.035528745,-0.014939721,0.029532927,0.99817186,-0.027663463,-0.060353959,0.070313029,-137.293308,66.34750267,-54.63050091,9.398934753,0.663192285,0.094499076,Campus
33,9.897181969,-0.232455168,0.298246174,0.04926068,0.015914647,-0.031900461,0.028027807,0.031651376,-0.031701786,45,1.5,10.98696041,5.415999889,1.502019405,349.4879761,166,-86.9103986,40.423657,-82.55508064,14.52178179,-3.622057907,-35,-0.02418744,-0.019946754,0.017455738,-0.021029358,-0.013754081,-0.01048706,0.999276089,-0.027539319,0.020457871,0.042437804,-141.4156868,68.28230091,-32.36135334,9.897181969,-0.232455168,0.298246174,Campus
34,9.857401251,-0.432589812,0.368451128,0.008606719,-0.035277911,-0.018924403,-0.012620222,-0.019539699,-0.018745004,45,1.5,6.620212555,6.052000046,1.629031301,353.5151978,158.8999939,-86.9103988,40.4236746,-76.37212051,21.9565835,-2.487823953,-29,-0.040127018,-0.029495503,-0.043736122,-0.023935597,-0.020002449,-0.02073857,0.999111654,-0.040930796,0.040455584,0.048705293,-135.2319947,75.71600449,-31.22760748,9.857401251,-0.432589812,0.368451128,Campus
35,10.03283817,-0.653249289,0.574710115,-0.005706678,0.052363843,0.004987596,-0.026936586,0.068107988,0.005169962,45,1.5,6.630208969,6.34100008,1.711269021,357.8346252,158.8999939,-86.9103967,40.4236921,-58.47459896,18.82118361,-0.033305999,-37.375,0.148928221,-0.024824004,0.251317459,0.005313764,-0.016800214,-0.031844756,0.998991898,-0.03308571,0.064210318,-0.009483386,-117.3348397,72.58194641,-28.77345541,10.03283817,-0.653249289,0.574710115,Campus
36,10.11174321,-0.736153047,0.394853487,-0.102504868,-0.033714069,-0.006378654,-0.12373181,-0.017978879,-0.006199513,45,1.5,6.630208969,6.34100008,1.711269021,357.8346252,158.8999939,-86.9103967,40.4236921,-49.72097717,15.95320772,0.67234198,-38.77777778,0.168873952,-0.102850099,-0.032787166,-0.02040938,-0.020910495,-0.031645469,0.99866087,-0.043040021,0.062284487,0.042316085,-108.5820719,69.71433701,-28.06817339,10.11174321,-0.736153047,0.394853487,Campus
37,9.992107956,-0.540731454,0.551754702,0.01743287,-0.001912604,-0.01078768,-0.003795554,0.013816713,-0.010597904,45,1.5,6.640202522,6.785999775,1.813739777,1.810493231,158.8999939,-86.9103924,40.4237267,-44.59600105,16.42778775,-1.476809967,-40.5,0.09222163,0.070834493,-0.060749585,-0.043443582,-0.02969091,-0.032005773,0.997779301,-0.061801052,0.061580147,0.089022547,-103.4556322,70.18720879,-30.21671539,9.992107956,-0.540731454,0.551754702,Campus
38,9.955849657,-0.511532632,0.299059274,0.058802943,0.015487647,0.010491154,0.037576001,0.031216964,0.010676484,45,1.5,6.660188198,6.763999939,1.960300922,15.90226841,158.8999939,-86.910374,40.4237455,-43.023787,19.38579962,-0.577547981,-40.88888889,0.044235558,0.011272805,-0.069523873,-0.035379237,-0.017758369,-0.026928524,0.998538627,-0.037188161,0.052655734,0.071819393,-101.8841505,73.14607475,-29.31684345,9.955849657,-0.511532632,0.299059274,Campus
39,9.722427507,-0.588585002,0.444214169,0.093533761,4.71E-04,9.67E-04,0.072293475,0.016208209,0.001154976,45,1.5,6.670257092,6.355999947,2.015851974,20.253088,158.8999939,-86.9103615,40.4237642,-43.84740917,20.15720562,2.393639944,-40.125,-0.191197645,-0.064639805,0.202625573,0.010674487,-0.012501684,-0.026327415,0.998846434,-0.024395127,0.052800025,-0.0207489,-102.7083818,73.91748062,-26.34638748,9.722427507,-0.588585002,0.444214169,Campus
40,9.641184788,-0.246536232,-0.27388817,-0.08578994,0.075872567,-0.057520462,-0.107022812,0.091612262,-0.057349959,45,1.5,2.235289097,5.874000072,1.880980492,17.7389431,155,-86.9103574,40.4237795,-44.36310326,18.87901161,3.550321918,-41.11111111,-0.277818865,0.067355993,0.031050479,-0.027088456,0.015609734,-0.015302133,0.99902331,0.030744143,0.031668001,0.053821865,-103.2231003,72.6383107,-25.19007153,9.641184788,-0.246536232,-0.27388817,Campus
41,10.03873657,-0.534085496,-0.517214939,0.064284262,-0.055809497,0.066475601,0.043043976,-0.040060906,0.066671309,45,1.5,2.245118856,5.620999813,1.767726421,13.45833111,155,-86.9103565,40.4237937,-42.94790302,20.48257959,2.679119958,-37.77777778,0.138243472,-0.121467062,-0.220157743,-0.050092457,0.01649318,-0.020693895,0.997916904,0.030834667,0.043366945,0.099667511,-101.8079003,74.2416346,-26.06151756,10.03873657,-0.534085496,-0.517214939,Campus
42,10.28750248,-0.450547596,-0.208788298,-0.146358705,0.055495176,-0.027820237,-0.167585648,0.071245251,-0.027626013,45,1.5,2.255152225,5.369999886,1.694318056,9.643978119,155,-86.9103562,40.4238081,-42.34083118,21.78944351,2.122677959,-36.375,0.366504891,-0.015188575,0.080277733,-0.070386349,0.016061566,-0.019499786,0.996154486,0.028642129,0.041861447,0.140194066,-101.2016819,75.55032845,-26.61686159,10.28750248,-0.450547596,-0.208788298,Campus
43,10.11047429,-0.491396915,-0.055281753,-0.034615173,-0.004083188,0.052526934,-0.055842115,0.011668369,0.052727092,45,1.5,2.265149117,5.355000019,1.669467807,6.859619141,155,-86.9103559,40.4238228,-42.90642307,22.60647757,1.439355974,-40.66666667,0.182952321,-0.193748835,0.123247071,-0.075220509,0.009337659,-0.014301001,0.996754399,0.016831302,0.030024159,0.150450706,-101.7673961,76.36748444,-27.30030544,10.11047429,-0.491396915,-0.055281753,Campus
