seconds_elapsed,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,microphone_dBFS,magnetometer_z,magnetometer_y,magnetometer_x,gyroscope_z,gyroscope_y,gyroscope_x,accelerometer_z,accelerometer_y,accelerometer_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,class
10,45,1.5,1,1600,0,0,149.39999389648438,-86.9080931,40.4347685,-0.938649086,0.014918529672674763,-0.004488512,0.34452160990353925,0.001854115,0.031104294836376476,2.4380164215865645,9.907061086117643,-0.306487478,-0.021677695,-77.5,-57.65146492,-20.75829954,-18.99198362,-2.82E-05,-6.02E-04,-1.11E-04,0.003832049,0.001763872,-0.003243485,9.907061086117643,-0.306487478,-0.021677695,-0.021255112,0.014516518378937707,1.9422568803544618E-4,-100.9118103,37.44240947723389,-51.63296082,Classroom
11,45,1.5,1,1600,0,0,149.39999389648438,-86.9080931,40.4347685,-0.938612622,0.014783482718308575,-0.004468804,0.34462696545332383,0.001801441,0.030836906,2.4377945325906993,9.940604200640928,-0.306301627,-0.01851824,-68,-57.63255524,-20.72816559,-19.00540371,-1.82E-04,-1.87E-04,4.299655127185352E-5,0.018906334071483427,-1.57E-04,-5.70E-04,9.940604200640928,-0.306301627,-0.01851824,-0.021409307,0.014931657270175739,3.484201389229269E-4,-100.892168,37.470835494995114,-51.64516106,Classroom
12,45,1.5,1,1600,0,0,149.39999389648438,-86.9080931,40.4347685,-0.938490511,0.014626499554775293,-0.004345814,0.3449676982986117,0.001935212,0.030456689,2.437068846619245,9.958843712667816,-0.301193646,-0.021747389,-64.375,-57.57106689,-20.69705555,-18.96416773,-2.77E-04,-1.75E-04,-4.00E-05,0.008818432,0.002063818,-0.002419722,9.958843712667816,-0.301193646,-0.021747389,-0.021504195,0.014943518422688673,2.653923482426162E-4,-100.831534,37.50475135803222,-51.60392498,Classroom
13,45,1.5,1,1600,0,0,149.39999389648438,-86.9080931,40.4347685,-0.938475271,0.014645027665837296,-0.004323106,0.3450082233808573,0.001991921,0.03047549,2.4369813840366104,9.956555192287151,-0.302597157,-0.014730814,-51.33333333,-57.58887882,-20.72792158,-19.01687166,4.299654222988677E-5,-4.24E-04,-1.82E-04,-0.001284072,8.681451232687941E-4,0.004785019,9.956555192287151,-0.302597157,-0.014730814,-0.021183946,0.014694435047257004,1.2305905834491393E-4,-100.8488582,37.471689491271974,-51.65711712,Classroom
14,45,1.5,1,1600,0,0,149.39999389648438,-86.9080931,40.4347685,-0.938428361,0.014885987797119086,-0.004436523,0.3451235245153742,0.001949255,0.031005900787207687,2.436732750494503,9.95808281,-0.314798468,-0.018907364,-48,-57.61193703,-20.65655161,-19.03541565,-5.62E-04,-0.001111979,-0.004665865,0.003698914,-0.005229856,-7.57E-04,9.95808281,-0.314798468,-0.018907364,-0.021788862,0.014006490502687334,-0.004360441,-100.8721603,37.54427932739258,-51.67541687,Classroom
15,45,1.5,1,1600,0,0,149.39999389648438,-86.9080931,40.4347685,-0.93858377,0.016399816438121703,-0.005449304,0.3446180959349697,0.001074674,0.034547772403191596,2.437800502314151,9.937926783145052,-0.337463493,-0.018068134,-69.66666667,-57.624991,-20.53638168,-19.03883169,-3.60E-04,-2.34E-04,2.090520942041162E-4,-0.009005797,0.006521794,-0.005617723,9.937926783145052,-0.337463493,-0.018068134,-0.021587224,0.014884212822879403,5.144757225440399E-4,-100.8849702,37.66579128265381,-51.67956497,Classroom
16,45,1.5,1,1600,0,0,149.39999389648438,-86.9080931,40.4347685,-0.938540903,0.016366132489830546,-0.005384278,0.3447376301566374,0.001177951,0.034439666,2.4375447578800533,9.946746002123193,-0.342089425,-0.014057833,-44.625,-57.66915485,-20.5438237,-19.00259762,3.1135451315350617E-5,-4.45E-05,-1.59E-04,0.00128346,4.3279337651521256E-4,-0.00249808,9.946746002123193,-0.342089425,-0.014057833,-0.021195807,0.015073990675358518,1.4678126899525523E-4,-100.9293778,37.65627548217773,-51.64369686,Classroom
17,45,1.5,1,1600,0,0,149.39999389648438,-86.9080931,40.4347685,-0.938542639,0.016355444247332904,-0.00537965,0.3447335912631108,0.001179168,0.034416441,2.437553529555981,9.942215910235655,-0.340646181,-0.01273365,-75.55555556,-57.61498699,-20.54760563,-19.07896973,-8.22E-05,-3.41E-04,-2.11E-04,-0.001100834,0.001706084,-8.06E-04,9.942215910235655,-0.340646181,-0.01273365,-0.021309171,0.014777805020387929,9.397647730880775E-5,-100.8753322,37.65395744,-51.71860493,Classroom
18,45,1.5,1,1600,0,0,149.39999389648438,-86.9080931,40.4347685,-0.938570983,0.016313174,-0.00542581,0.3446576925157343,0.001060524,0.034368988,2.4377176669037457,9.948566742313718,-0.340878494,-0.010433752,-84.125,-57.64682903,-20.51307968,-18.94367168,5.485765914007732E-5,-2.34E-04,3.1135437752400496E-5,0.001889016,0.001218419,1.9308343276526165E-4,9.948566742313718,-0.340878494,-0.010433752,-0.021172084,0.014884212877131204,3.365590287942114E-4,-100.9074177,37.685921096801756,-51.58330704,Classroom
19,45,1.5,1,1600,0,0,149.39999389648438,-86.9080931,40.4347685,-0.938217822,0.015595634,-0.005100211,0.34565513949949767,0.001211315,0.032795846353746154,2.435599667354695,9.949870600283724,-0.327195264,-0.014499228,-90.88888889,-57.58717091,-20.59677162,-19.05932756,-2.54E-04,7.41320121942938E-5,0.002272886,8.123823739949939E-4,-6.78E-04,-0.002371696,9.949870600283724,-0.327195264,-0.014499228,-0.021480473,0.015192601721263627,0.002578309,-100.8472717,37.60271739959717,-51.69957298,Classroom
20,45,1.5,1,1600,0,0,149.39999389648438,-86.9080931,40.4347685,-0.937955278,0.015112258,-0.004843814,0.34639288933531753,0.001383676,0.031710279327862474,2.434031299017008,9.943296117690004,-0.316834113,-0.016590043,-104,-57.61901306,-20.67167959,-19.07421156,5.48576506632335E-5,-3.17E-04,5.530243591423535E-4,-0.003347064,-0.001198098,-0.002752136,9.943296117690004,-0.316834113,-0.016590043,-0.021172084,0.014801185,8.584479479236727E-4,-100.879114,37.52817539215088,-51.71470093,Classroom
21,45,1.5,1,1600,0,0,149.39999389648438,-86.9080931,40.4347685,-0.937966638,0.015092566528004928,-0.004822067,0.3463632866595555,0.001409841,0.031658303,2.434094354944322,9.908039778,-0.316601798,-0.016590043,-105.2222222,-57.61181488,-20.68729574,-18.98685959,-1.23E-04,-2.70E-04,4.2996554097468124E-5,-0.018426016,-0.002120735,-0.002520467,9.908039778,-0.316601798,-0.016590043,-0.021350001,0.01484863,3.4842013609731224E-4,-100.8711842,37.51292537689209,-51.62686111,Classroom
22,45,1.5,1,1600,0,0,149.39999389648438,-86.9080931,40.4347685,-0.938032339,0.015254927347007306,-0.00482033,0.3461781378509929,0.001519338,0.031962007899018166,2.434485326692896,9.892673721680275,-0.31632425,-0.013980181,-121.5555556,-57.62438095,-20.69266369,-19.04090557,1.2602431200064935E-4,-2.11E-04,3.276632084890983E-4,-0.009415043,1.1080387726570796E-5,0.001760985,9.892673721680275,-0.31632425,-0.013980181,-0.021100918,0.014907935060090522,6.330868402197596E-4,-100.8847259,37.507923431396485,-51.68090714,Classroom
23,45,1.5,1,1600,0,0,149.39999389648438,-86.9080931,40.4347685,-0.937978556,0.015265854780824439,-0.00470203,0.34632503697015704,0.001753971,0.031900336369148734,2.434168706819849,9.898558412940757,-0.318529995,-0.021282764,-112.625,-57.61413284,-20.69668959,-19.03224371,4.299654392525554E-5,-4.12E-04,-8.75E-05,0.001747483,-0.002041649,-0.00473514,9.898558412940757,-0.318529995,-0.021282764,-0.021183945,0.014706296,2.1794794728635875E-4,-100.8744782,37.50292121887207,-51.67187893,Classroom
24,45,1.5,1,1600,0,0,149.39999389648438,-86.9080931,40.4347685,-0.93798944,0.015241587,-0.004689828,0.346296845,0.001759097,0.03184642,2.434229128569075,9.902223226,-0.315091764,-0.019795961,-121.8888889,-57.657565,-20.72962959,-19.0441997,1.92743089746286E-5,-2.70E-04,1.8532989542135626E-4,0.002312151,2.0422055883315002E-4,-0.002051935,9.902223226,-0.315091764,-0.019795961,-0.021207667,0.014848629519054033,4.907534785514462E-4,-100.9173003,37.46985939025879,-51.68481102,Classroom
25,45,1.5,1,1600,0,0,149.39999389648438,-86.9080931,40.4347685,-0.93800381,0.015118155872575867,-0.004689955,0.34626305624119286,0.001672073,0.031614884,2.4343040707041914,9.911507041708937,-0.317507818,-0.020013754,-84.875,-57.57741085,-20.70169161,-19.00003559,-1.47E-04,-4.60E-04,-1.63E-05,0.005848792,-0.004002241,-0.002835554,9.911507041708937,-0.317507818,-0.020013754,-0.021373723,0.014658851662053935,2.89114584323489E-4,-100.8372684,37.499627380371095,-51.64003685,Classroom
26,45,1.5,1,1600,0,0,149.39999389648438,-86.9080931,40.4347685,-0.937991017,0.014919507370975155,-0.004568858,0.34630790180884874,0.001763099,0.031158162,2.434210029932169,9.943470380838635,-0.308282094,-0.016531965,-48.66666667,-57.56508888,-20.72267561,-19.02394762,-1.17E-05,-1.06E-04,7.518119583927238E-4,0.018387923,8.7657542182849E-4,5.030657003562038E-4,9.943470380838635,-0.308282094,-0.016531965,-0.021238689,0.015012746,0.001057236,-100.8244579,37.47766731262207,-51.66468109,Classroom
27,45,1.5,1,1600,0,0,149.39999389648438,-86.9080931,40.4347685,-0.937911725,0.014822692149183124,-0.004618458,0.34652591069925176,0.001609977,0.031010504251400246,2.4337485253232196,9.961855036541095,-0.30329027,-0.018773784,-70.875,-57.57021278,-20.71877155,-19.00088968,1.927430162803062E-5,-4.48E-04,-2.30E-04,0.008135055,0.00551235,-0.002674834,9.961855036541095,-0.30329027,-0.018773784,-0.021207668,0.014670712810045885,7.561459635538094E-5,-100.8304363,37.48218162536621,-51.64101307,Classroom
28,45,1.5,1,1600,0,0,149.39999389648438,-86.9080931,40.4347685,-0.937771206,0.014620362084756778,-0.004486355,0.3469167820458273,0.001730536,0.030538625,2.4329162593026763,9.962520062344746,-0.30516039,-0.018959635,-78.11111111,-57.57985115,-20.70486357,-19.0102836,3.113544001289218E-5,-2.94E-04,3.113539536818138E-5,0.001003182,-7.44E-04,-0.001647284,9.962520062344746,-0.30516039,-0.018959635,-0.021195806,0.014824907304447832,3.365590802203972E-4,-100.839586,37.49450340270996,-51.64979702,Classroom
29,45,1.5,1,1600,0,0,149.39999389648438,-86.9080931,40.4347685,-0.937760027,0.014604152361093794,-0.004444907,0.34694822581068985,0.001798081,0.030479394224951568,2.4328485437967244,9.955144179,-0.303705529,-0.018541472,-88.88888889,-57.547033,-20.66899565,-19.00174358,3.1135429840679596E-5,-1.99E-04,-2.89E-04,-0.003799809,5.248536183996108E-5,-5.61E-04,9.955144179,-0.303705529,-0.018541472,-0.021195806,0.014919796235208373,1.630901293467405E-5,-100.807134,37.53159156799316,-51.63942688,Classroom
30,45,1.5,1,1600,0,0,149.39999389648438,-86.9080931,40.4347685,-0.937809607,0.014714306,-0.004448524,0.34680950120814796,0.001863258,0.030688825687303127,2.433142005,9.943722559855534,-0.305038872,-0.020707119,-111.625,-57.61998878,-20.71608755,-18.97173151,-6.38E-05,-1.04E-04,9.044099009134671E-5,-0.004304867,4.139024655795792E-4,-0.002232941,9.943722559855534,-0.305038872,-0.020707119,-0.021290695,0.015014685066507279,3.958645946961077E-4,-100.8800902,37.48437717437744,-51.61136703,Classroom
31,45,1.5,1,1600,0,0,149.39999389648438,-86.9080931,40.4347685,-0.937823581,0.014603776703543455,-0.004474228,0.3467760479565963,0.00173721,0.030499360334236645,2.433216546345683,9.950114583506167,-0.302918571,-0.018378853,-95,-57.64817089,-20.72743374,-19.01979961,-2.82E-05,-3.88E-04,-1.35E-04,0.001749242,5.299943743400203E-4,-9.07E-04,9.950114583506167,-0.302918571,-0.018378853,-0.021255112,0.014730018427939091,1.705034706036298E-4,-100.9081506,37.47327545166016,-51.65919102,Classroom
32,45,1.5,1,1600,0,0,149.39999389648438,-86.9080931,40.4347685,-0.937844686,0.014654039134027309,-0.004456657,0.3467170842064237,0.001803149,0.030581588522323126,2.4333407369632165,9.949423456654966,-0.304475067,-0.017496064,-94.625,-57.61047295,-20.69681158,-19.0002796,-4.00E-05,2.9652858677419643E-6,-2.42E-04,-1.95E-04,2.980081780442914E-4,4.724777728608511E-4,9.949423456654966,-0.304475067,-0.017496064,-0.021266973,0.015121435068403055,6.375347209859242E-5,-100.870452,37.502799377441406,-51.63954891,Classroom
33,45,1.5,1,1600,0,0,149.39999389648438,-86.9080931,40.4347685,-0.937883742,0.014635031626930514,-0.004495773,0.3466117150575212,0.001713122,0.030573250960956498,2.4335668943460704,9.949127317632286,-0.304544763,-0.018285927,-99.77777778,-57.63877678,-20.73731552,-19.0204097,7.41319941103603E-6,-1.75E-04,6.671875909658022E-5,8.096046818112864E-5,-3.75E-04,-0.001028057,9.949127317632286,-0.304544763,-0.018285927,-0.021219528,0.014943518449814574,3.7214237839453717E-4,-100.898634,37.46205127716065,-51.65955734,Classroom
34,45,1.5,1,1600,0,0,149.39999389648438,-86.9080931,40.4347685,-0.937932942,0.014697932002421182,-0.004518875,0.34647560176941067,0.001708949,0.030707531,2.433856338262558,9.939640101,-0.307262821,-0.017496064,-109.5,-57.58985474,-20.6953476,-19.01016169,-1.17E-05,-1.53E-04,-3.52E-05,-0.005113611,-0.001444578,-5.32E-04,9.939640101,-0.307262821,-0.017496064,-0.021238689,0.014965757951498605,2.701824302605998E-4,-100.849712,37.50584949493408,-51.64943111,Classroom
35,45,1.5,1,13.067000389099121,0,0,149.39999389648438,-86.9110121,40.427983,-0.937936498,0.014723815277074148,-0.004493282,0.346465213,0.00177459,0.030738376750095376,2.433877255,9.937119530242624,-0.305566937,-0.018750553,-119.8888889,-57.55862289,-20.71047558,-19.01467573,-2.82E-05,-3.41E-04,6.671876192219483E-5,-0.0022222,1.7592860657034568E-4,-0.001038329,9.937119530242624,-0.305566937,-0.018750553,-0.021255112,0.014777462857151494,3.721423755689226E-4,-100.8183584,37.48962352752685,-51.6546772,Classroom
36,45,1.5,1,13.067000389099121,0,0,149.39999389648438,-86.9110121,40.427983,-0.938012797,0.014837006604280865,-0.004538327,0.34625314711367045,0.001761538,0.030982382,2.4343280213550456,9.907891643857493,-0.310189964,-0.018704091,-119,-57.62889503,-20.75634764,-19.03407368,-1.47E-04,-1.99E-04,3.113543153604836E-5,-0.015565659,-0.002514361,-0.001150008,9.907891643857493,-0.310189964,-0.018704091,-0.021373723,0.014919796189998539,3.365590350105635E-4,-100.8883862,37.443873443603515,-51.67407505,Classroom
