seconds_elapsed,microphone_dBFS,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,gyroscope_z,gyroscope_y,gyroscope_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,magnetometer_z,magnetometer_y,magnetometer_x,accelerometer_z,accelerometer_y,accelerometer_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,class
10,-144.875,9.895253894398513,-0.239775928,0.1672362339438744,9.895253894398513,-0.239775928,0.1672362339438744,-0.614148938,8.499265554614221E-4,-0.014447555,0.7890574214527908,-0.016410032,0.02384613,1.3229729411671463,-0.001037847,9.162709076246879E-4,6.093646154413452E-4,-114.5448217,54.30732292175293,-32.58900528,-48.90443115,6.127937831878662,-20.40864761,0.002190423,-0.004204559,0.004908668,-0.021195806,0.013591351774204704,6.093646154413452E-4,0,1.5,1.5620851516723633,28.44700050354004,0,0,167.59999084472656,-86.9131295,40.4274956,Garage
11,-112.1111111,9.89811139,-0.239311303,0.16911796776993762,9.89811139,-0.239311303,0.16911796776993762,-0.614118761,7.965102146415818E-4,-0.014426721,0.7890813477988382,-0.016467813,0.023748247350737887,1.3228958000257178,-8.48E-04,9.162709053641963E-4,6.212257295259211E-4,-114.5356718,54.234610900878906,-32.49335735,-48.89540325,6.053883853,-20.31397566,0.001273202,-0.003928074,0.005859806,-0.021006028,0.013591351792288637,6.212257295259211E-4,0,1.5,1.5620851516723633,28.44700050354004,0,0,167.59999084472656,-86.9131295,40.4274956,Garage
12,-112.375,9.912866027609816,-0.23778675,0.16858364858673613,9.912866027609816,-0.23778675,0.16858364858673613,-0.614151122,8.260697224893823E-4,-0.014424689,0.7890561412160213,-0.016419659,0.023780689198667042,1.3229775291222792,-9.16E-04,0.001033742,5.75606067566416E-4,-114.522374,54.341360893249515,-32.49103943,-48.88173885,6.160999841690064,-20.31165762,0.010151744,-0.002471831,0.005908337,-0.02107423,0.013708822411270095,5.75606067566416E-4,0,1.5,1.5620851516723633,28.44700050354004,0,0,167.59999084472656,-86.9131295,40.4274956,Garage
13,-97.44444444,9.923549318776548,-0.234827664,0.16923412318947245,9.923549318776548,-0.234827664,0.16923412318947245,-0.613757031,6.513721230485052E-4,-0.014328359,0.7893646359443665,-0.016565256,0.023422325011885282,1.3219752462164869,-9.31E-04,7.502153364362792E-4,7.042535100340192E-4,-114.5944761,54.287559051513675,-32.54898933,-48.95506123,6.107197847366333,-20.37058363,0.003738709,-0.002452543,0.00476734,-0.021089056,0.013425296181541624,7.042535100340192E-4,0,1.5,1.5620851516723633,28.44700050354004,0,0,167.59999084472656,-86.9131295,40.4274956,Garage
14,-88,9.938966519624284,-0.233994242,0.16837456605388124,9.938966519624284,-0.233994242,0.16837456605388124,-0.613522542,5.869636525743577E-4,-0.014222079,0.7895488929980009,-0.01652947,0.023180363283863345,1.3213763306441817,-8.72E-04,7.383542223517032E-4,7.161146229883493E-4,-114.556778,54.35160903930664,-32.56484943,-48.916875,6.170271854400635,-20.3846137,0.008310188,-0.003813745,0.004083701,-0.021029751,0.013413435092322457,7.161146229883493E-4,0,1.5,1.5620851516723633,28.44700050354004,0,0,167.59999084472656,-86.9131295,40.4274956,Garage
15,-120.6666667,9.937511666307172,-0.233634158,0.16900181090368807,9.937511666307172,-0.233634158,0.16900181090368807,-0.613364677,5.327684169599008E-4,-0.014182205,0.7896722757700577,-0.016561493,0.023054206960843603,1.3209749008845357,-8.12E-04,7.383542268726866E-4,8.228646277097389E-4,-114.56605,54.33940887451172,-32.60108341,-48.9266349,6.159779834747314,-20.42072559,-3.82E-04,-0.004504647,0.004273042,-0.020970445,0.013413435101364423,8.228646277097389E-4,0,1.5,1.5620851516723633,28.44700050354004,0,0,167.59999084472656,-86.9131295,40.4274956,Garage
16,-121.6666667,9.916251008,-0.237510655,0.16878602825678313,9.916251008,-0.237510655,0.16878602825678313,-0.613604745,5.914277325890669E-4,-0.014335145,0.7894829419052717,-0.016663737,0.023362640020193406,1.3215901759064312,-6.70E-04,6.790486541893153E-4,6.330868424802512E-4,-114.5096852,54.31647308349609,-32.5668013,-48.86917294,6.1361118412017825,-20.38534561,-0.010003164,-0.005754256,0.00338092,-0.020828112,0.013354129573890886,6.330868424802512E-4,0,1.5,1.5620851516723633,28.44700050354004,0,0,167.59999084472656,-86.9131295,40.4274956,Garage
17,-107.875,9.931572988195327,-0.23549266,0.1689321165813983,9.931572988195327,-0.23549266,0.1689321165813983,-0.613687292,6.847868224795799E-4,-0.014312272,0.789419133,-0.016490646,0.023439396679112056,1.321797494749421,-8.72E-04,9.992986926537694E-4,7.398368477667637E-4,-114.4800394,54.389672927856445,-32.59156731,-48.83903908,6.210043878555298,-20.41181971,0.006337601,-0.002907346,0.004819255,-0.021029751,0.013674379561494277,7.398368477667637E-4,0,1.5,1.5620851516723633,28.44700050354004,0,0,167.59999084472656,-86.9131295,40.4274956,Garage
18,-114.4444444,9.940941208774603,-0.234821857,0.16944320615634179,9.940941208774603,-0.234821857,0.16944320615634179,-0.613550698,6.919258519401322E-4,-0.014213648,0.7895270840635578,-0.016354175,0.023295290768146515,1.3214464720013073,-9.79E-04,0.001212799,5.619201698403769E-4,-114.4721097,54.32537914276123,-32.59559341,-48.83257301,6.144773850440979,-20.41450356,0.004935672,-0.003358748,0.006967834,-0.021136501,0.01388788,5.619201698403769E-4,0,1.5,1.5620851516723633,28.44700050354004,0,0,167.59999084472656,-86.9131295,40.4274956,Garage
19,-106.5,9.942329295630595,-0.232443555,0.16914119868023883,9.942329295630595,-0.232443555,0.16914119868023883,-0.613424797,6.679083069207743E-4,-0.014146642,0.7896261406176298,-0.01630611,0.023162613,1.3211244124810673,-9.90E-04,0.00111791,6.093646160064681E-4,-114.4619833,54.30378482818603,-32.49848141,-48.82256927,6.123179850578308,-20.31812363,0.001845665,-0.002328851,0.006967387,-0.021148362,0.013792990670693152,6.093646160064681E-4,0,1.5,1.5620851516723633,28.44700050354004,0,0,167.59999084472656,-86.9131295,40.4274956,Garage
20,-93.22222222,9.942709635762336,-0.234685372,0.16915862294800074,9.942709635762336,-0.234685372,0.16915862294800074,-0.613402368,6.358889980989401E-4,-0.014164778,0.7896432183109797,-0.016378332,0.023152450529428627,1.3210687751953418,-5.64E-04,0.001092477,6.813296288153372E-4,-114.5002915,54.31793689727783,-32.60059544,-48.85977901,6.139039874076843,-20.41962761,-8.34E-04,-0.004222781,0.006121236,-0.020721818,0.013767557675377108,6.813296288153372E-4,0,1.5,1.5620851516723633,28.44700050354004,0,0,167.59999084472656,-86.9131295,40.4274956,Garage
21,-119.125,9.914306409150651,-0.237208871,0.16832810394393588,9.914306409150651,-0.237208871,0.16832810394393588,-0.613593882,7.27512159393829E-4,-0.014231147,0.7894931614977642,-0.016320767,0.023365718249267746,1.3215565033329344,-7.53E-04,0.001272104,4.7889238933227884E-4,-114.5048058,54.37478908538819,-32.62231148,-48.86514683,6.194793848991394,-20.44219757,-0.016619553,-0.005197636,0.006105036,-0.02091114,0.013947185083717397,4.7889238933227884E-4,0,1.5,1.5620851516723633,28.44700050354004,0,0,167.59999084472656,-86.9131295,40.4274956,Garage
22,-116.3333333,9.888121743804042,-0.238852486,0.17027953267097473,9.888121743804042,-0.238852486,0.17027953267097473,-0.613961512,8.435176326034283E-4,-0.014408065,0.7892039881169217,-0.016365955,0.023779818,1.322495965124334,-0.001097153,0.00133141,3.48420159267352E-4,-114.5433575,54.30866504669189,-32.5994973,-48.90321114,6.128669857978821,-20.41938356,-0.012497059,-0.003406342,0.008105654,-0.021255112,0.014006490656400769,3.48420159267352E-4,0,1.5,1.5620851516723633,28.44700050354004,0,0,167.59999084472656,-86.9131295,40.4274956,Garage
