seconds_elapsed,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,microphone_dBFS,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,gyroscope_z,gyroscope_y,gyroscope_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometer_z,accelerometer_y,accelerometer_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,magnetometer_z,magnetometer_y,magnetometer_x,class
0,10.268460143180121,0.7084855900168241,-0.381455813,0.199568269,-0.098059608,0.10912004231316287,-80.25,42.85919189453125,1.0239628553390503,2.9917240142822266,11.005000114440918,1.1799999475479126,323,155,-86.9102479,40.4257151,0.2054059700713378,-0.098140505,0.10017037105464031,10.265681837811883,0.6916586802582498,-0.408574469,-0.059179147,-0.185551475,-0.219342991,0.6552222469273735,0.034560743,0.028897065784001502,0.7530995523228364,0.013542449841385378,-0.089246195,-1.43171263,-109.7705655,64.31458621025085,-9.004667366,17.409548422185384,8.546397425779482,45.69301614528749,Campus
1,9.585557451525938,1.0943040057872107,-0.125251486,0.076539754,0.064337636,0.003436757,-54.375,42.85919189453125,1.0239628553390503,2.9917240142822266,11.005000114440918,1.1799999475479126,323,155,-86.9102479,40.4257151,0.097003138,0.052574377877691994,0.003103164,9.585557451525938,1.0943040057872107,-0.125251486,-0.361933292,-0.045738181,0.036583454,0.6965095840611504,0.045292382336501937,0.035139292297722065,0.714325037,0.016354068040562955,-0.114068068,-1.544698908,-110.7383002,57.90510265350342,-7.507147837,16.401191663742065,2.044841956,47.21253513336182,Campus
2,9.703767003364934,1.0325523359176603,-0.704088063,-0.038109753,0.11373916505248223,-0.004195868,-46.88888889,42.85919189453125,1.0239628553390503,2.9917240142822266,11.005000114440918,1.1799999475479126,323,155,-86.9102479,40.4257151,-0.01764637,0.1019521869596962,-0.004547252,9.703767003364934,1.0325523359176603,-0.704088063,-0.157006963,-0.106064289,0.092864717,0.7132793936914611,0.069049973,0.011375717121163424,0.6969598942589992,0.080713066,-0.114580266,-1.589428678,-109.697152,56.10755489349365,-4.074189928,17.44355966567993,0.24729398496448993,50.64537113189697,Campus
3,9.777967707624713,0.4936358277477975,-1.349868497,-0.076705811,-0.009991505,-0.061802322,-45.44444444,33.95765305,0.826801062,1.445676326751709,8.892000198364258,1.229291319847107,313.5546569824219,154.79998779296875,-86.9102621,40.425725,-0.056242427,-0.02177107,-0.062156672,9.777967707624713,0.4936358277477975,-1.349868497,-0.023678687,-0.175016132,0.040715692,0.6893334336651181,0.07410928,-0.024001508,0.7195437440594423,0.14091989390769052,-0.067424189,-1.522972137,-108.3712557,59.76291877746582,-2.312509958,18.768723602294923,3.9031459227204324,52.406807022094725,Campus
4,9.748370986718397,0.42203121962777984,-1.343290937,0.050848586936888186,-0.017990342,0.067509002,-39.375,30.305652618408203,0.8459905385971069,1.4557803869247437,8.034000396728516,1.1050612926483154,309.06414794921875,154.79998779296875,-86.9102768,40.4257344,0.07131197,-0.02976546,0.067141306,9.748370986718397,0.42203121962777984,-1.343290937,-0.049869426,-0.309998256,-0.074389081,0.6834726426207903,0.072234118,-0.017501797,0.7255936832103914,0.12935324989765593,-0.072854066,-1.506446833,-109.9644537,60.530786743164064,-2.508929938,17.176135578155517,4.6711359414458276,52.21148517608643,Campus
5,10.139812464852936,0.58307629,-0.700298461,0.18919659393740076,0.006485064,-0.071472095,-51.33333333,49.880802154541016,1.0221545696258545,1.465843915939331,7.491000175476074,1.0299837589263916,308.5079345703125,154.79998779296875,-86.9102895,40.4257432,0.20965997632412078,-0.005284126,-0.071787896,10.139812464852936,0.58307629,-0.700298461,0.27068496444850293,-0.223532933,-0.103290722,0.7439058556140048,0.050459911,0.005260062,0.6654242520193452,0.06021014,-0.081994911,-1.679504389,-113.5823635,55.5570911,-2.285669945,13.557127780914307,-0.303291994,52.43437889099121,Campus
6,9.807657283486671,0.7061440294949808,-0.510458185,-0.15394537,0.062048441,-0.077693247,-53.25,21.363779067993164,0.826801062,1.4757978916168213,7.024000168,0.8617711067199707,294.5387878417969,154.79998779296875,-86.910302,40.4257488,-0.133481988,0.050285184434931546,-0.07801498,9.807657283486671,0.7061440294949808,-0.510458185,-0.118349899,0.38439951,0.1827961487098805,0.7530474066734314,0.0351979,-0.016077538,0.6557090785896894,0.069794501,-0.031603265,-1.707830393,-114.644862,56.46318485,-0.509593988,12.495483751296996,0.6032899868488312,54.210333023071286,Campus
7,9.849023536571021,0.2606463386017142,-0.896660927,0.11526217865936744,-0.011528274,0.010761777761217672,-49,45,0.23321637511253357,1.4857146739959717,7.196000099182129,1.0632675886154175,296.6182556152344,154.79998779296875,-86.9103018,40.4257472,0.1357255621461753,-0.023294424,0.010419643946918838,9.849023536571021,0.2606463386017142,-0.896660927,-0.048708017,0.46406919272759783,-0.138704638,0.7737577494520408,0.016857377468673242,-0.035487188,0.6317819144863349,0.076356425,0.019106631,-1.77288682,-116.0467638,56.130856857299804,1.0617659673839808,11.093947811126709,0.2705959898233414,55.782059059143066,Campus
8,10.16544526294597,-0.260829283,-0.904835429,0.12780348076801568,0.087309643,0.031732921814093894,-40.75,45,0.22678984701633453,1.4857146739959717,7.729000091552734,1.0280930995941162,294.8741149902344,154.79998779296875,-86.9103082,40.4257498,0.1482668625444029,0.075525629,0.031368193361293345,10.16544526294597,-0.260829283,-0.904835429,0.2599444018984304,-0.231717533,0.10576107721884274,0.8147795773246913,0.027981728,-0.042385597,0.5765292227846904,0.10166491644041052,0.002808494,-1.909931038,-113.4475538,46.523844985961915,0.7187019804865122,13.692547740936279,-9.33592783,55.43875102996826,Campus
9,9.64637405,0.5397789754262827,-1.557068353,-0.064382116,0.019111214069993172,-0.04730508,-37.66666667,45,0.2373623102903366,1.4957019090652466,8.069999694824219,1.1042741537094116,287.5468444824219,154.79998779296875,-86.9103228,40.4257549,-0.043918731,0.007324235,-0.047638673,9.64637405,0.5397789754262827,-1.557068353,-0.185590485,0.062808526,-0.143833633,0.8154135057069722,0.060878989,-0.044339323,0.5733174293943979,0.14282078592522632,-0.048006526,-1.912554888,-109.0760497,42.909473266601566,1.2489139682799577,18.063807640075684,-12.95103172,55.96871910095215,Campus
