Instructor,Instructor _Title,Department,Courses,Course_count,Sum_MaxCredits,Sum_Enrollment,Sum_Capacity
"Forbes, Angus G.",Associate Professor,Computer Graphics Technology,"[('CGT', 58100)]",1,3,28,30
"Franklin, Jessica R.",Recruiting Officer for Air Force ROTC,Aerospace Studies,"[('AFT', 11000), ('AFT', 11000), ('AFT', 11000)]",3,3,62,144
"French, Richard M.",Professor,School of Engineering Tech,"[('MET', 34900), ('ENGT', 50900)]",2,6,63,80
"Fuerst, Travis J.",Assistant Professor of Practice,School of Engineering Tech,"[('MFET', 10301), ('MFET', 16300), ('MFET', 16300), ('MFET', 31301)]",4,10,696,850
"Gan, Dongming",Associate Professor,School of Engineering Tech,"[('MET', 31601), ('MET', 41100), ('ECET', 58100)]",3,6,21,101
"Gao, Yi",Associate Professor,Schl of Aviation & Transp Tech,"[('AT', 49800), ('AT', 54600)]",2,6,27,62
"Garcia Bravo, Jose M.",Associate Professor,School of Engineering Tech,"[('MET', 33400), ('MET', 43600), ('ENGT', 48000), ('ENGT', 48000), ('ENGT', 48100)]",5,15,273,319
"Garcia, Esteban",Associate Professor,Computer Graphics Technology,"[('CGT', 11800), ('CGT', 50100), ('CGT', 50100)]",3,7,249,370
"George, Sarah J.",Associate Professor of Practice,Schl of Construction Mgmt Tech,"[('CM', 26200)]",1,3,25,40
"Gephart, Raymond F.",Senior Continuing Lecturer,Schl of Aviation & Transp Tech,"[('AT', 35400)]",1,2,59,60
"Gilbert, Vicki L.","Recruting, Placement and Internship Coordinator",Schl of Aviation & Transp Tech,"[('AT', 29000)]",1,1,26,30
"Giri, Nandhini",Assistant Professor,Computer Graphics Technology,"[('CGT', 38500), ('CGT', 58100)]",2,6,49,60
"Glotzbach, Ronald J.",Associate Professor,Computer Graphics Technology,"[('CGT', 35300), ('CGT', 35600)]",2,6,53,90
"Gonzalez, Rey A.",Student,Computer Information Tech,"[('CNIT', 31500)]",1,3,86,100
"Gouwens, David W.",Continuing Lecturer,Schl of Aviation & Transp Tech,"[('AT', 10600), ('AT', 12700), ('AT', 37200)]",3,9,247,271
"Grant, Brandon C.",Assistant Professor,Technology Ldrshp & Innovatn,"[('OLS', 37800), ('TLI', 45580)]",2,6,53,85
"Guan, Shanyue",Assistant Professor,Schl of Construction Mgmt Tech,"[('CM', 25000)]",1,9,64,85
"Habben, Steven G.",Lecturer,Schl of Construction Mgmt Tech,"[('CM', 39000), ('CM', 49000)]",2,2,152,178
"Habig, Ashley E.",Clinical Assistant Professor,Schl of Aviation & Transp Tech,"[('AT', 20802), ('AT', 32001)]",2,6,40,42
"Hagovsky, Thomas C.",Associate Professor,Schl of Aviation & Transp Tech,"[('AT', 27800), ('AT', 49000)]",2,5,67,80
"Hammoud, Abrar",Clinical Assistant Professor,Purdue Polytechnic Inst Admin,"[('TECH', 33000)]",1,3,60,60
"Hammoud, Abrar",Clinical Assistant Professor,Technology Ldrshp & Innovatn,"[('OLS', 47700)]",1,3,45,45
"Han, Jung",Postdoctoral Researcher,Technology Ldrshp & Innovatn,"[('TLI', 66200)]",1,3,11,20
"Hands, Nicole M.",Clinical Assistant Professor,Computer Information Tech,"[('CNIT', 27000), ('CNIT', 41700), ('CNIT', 47000)]",3,9,310,351
"Hartman, Nathan W.",Dauch Family Professor of Advanced Manufacturing,School of Engineering Tech,"[('MFET', 51400)]",1,3,7,20
"Hassan, Raymond P.",Associate Professor of Practice,Computer Graphics Technology,"[('CGT', 24100), ('CGT', 33300), ('CGT', 34100)]",3,9,38,80
"He, Liang",Assistant Professor,Computer Graphics Technology,"[('CGT', 51200)]",1,3,41,50
"Henneberry, Debra",Assistant Professor,Schl of Aviation & Transp Tech,"[('AT', 22300), ('AT', 24900), ('AT', 25400)]",3,9,179,232
"Heslin, Paul E.",Recruiting Operations Officer Army ROTC,Military Science,"[('MSL', 10100), ('MSL', 10100), ('MSL', 10100), ('MSL', 20100), ('MSL', 20100), ('MSL', 30100), ('MSL', 30100), ('MSL', 40100)]",8,24,138,243
"Hiday, Lawrence A.",Professor of Practice,Computer Information Tech,"[('CNIT', 17600), ('CNIT', 45500)]",2,6,330,348
"Howard, Robert T.",Clinical Assistant Professor,Computer Graphics Technology,"[('CGT', 10501), ('CGT', 24500), ('CGT', 34500), ('CGT', 37500)]",4,12,306,423
"Howard, Robert T.",Clinical Assistant Professor,Computer Information Tech,"[('CNIT', 30600)]",1,3,14,189
"Huang, Amanda",Student,Computer Information Tech,"[('CNIT', 15501)]",1,3,120,126
"Hubbard, Bryan J.",Professor,Schl of Construction Mgmt Tech,"[('CM', 10000), ('CM', 20001), ('CM', 37100)]",3,12,256,290
"Hubbard, Sarah M.",Associate Professor,Schl of Aviation & Transp Tech,"[('AT', 35900), ('AT', 50500)]",2,6,61,70
"Hudson, Scott C.",Associate Professor of Naval Science,Naval Science,"[('NS', 11000), ('NS', 11000), ('NS', 21400), ('NS', 21400), ('NS', 31100), ('NS', 31100), ('NS', 35000), ('NS', 35000)]",8,24,107,226
"Hupy, Joseph P.",Associate Professor,Schl of Aviation & Transp Tech,"[('AT', 30901), ('AT', 58100)]",2,6,33,50
