Instructor,Instructor _Title,Department,Courses,Course_count,Sum_MaxCredits,Sum_Enrollment,Sum_Capacity
"Springer, John A.",Professor,Computer Information Tech,"[('CNIT', 41500), ('CNIT', 57000)]",2,6,58,60
"Stephens, Matthew P.",Professor,School of Engineering Tech,"[('IET', 31600), ('IET', 33620)]",2,6,73,90
"Stirm, Brian H.",Air Operations Technical Specialist,Schl of Aviation & Transp Tech,"[('AT', 29000)]",1,1,46,50
"Strickland, Paul B.",Clinical Assistant Professor,Schl of Aviation & Transp Tech,"[('AT', 41600)]",1,2,54,60
"Strimel, Greg J.",Associate Professor,Purdue Polytechnic Inst Admin,"[('TECH', 34000)]",1,3,32,40
"Strimel, Greg J.",Associate Professor,Technology Ldrshp & Innovatn,"[('TLI', 36100), ('TLI', 46000)]",2,6,2,42
"Suckow, Michael W.",Professor of Practice and Associate Head for Engagement,Schl of Aviation & Transp Tech,"[('AT', 43800), ('AT', 47500), ('AT', 49401), ('AT', 49501)]",4,9,192,212
"Sun, Wenhai",Assistant Professor,Computer Information Tech,"[('CNIT', 37000), ('CNIT', 58100)]",2,6,103,120
"Sundararajan, Rajeswari",Associate Professor,School of Engineering Tech,"[('ECET', 27400), ('ECET', 38001)]",2,6,87,102
"Sutton, Mathias J.",Associate Head for Academic Affairs,School of Engineering Tech,"[('IET', 33400)]",1,3,56,60
"Tanoos, James J.",Clinical Associate Professor,School of Engineering Tech,"[('IET', 34300), ('IET', 44275)]",2,6,58,80
"Tao, Chengcheng",Assistant Professor,Schl of Construction Mgmt Tech,"[('CM', 20001), ('CM', 30001)]",2,12,181,180
"Thom, James M.",Associate Professor,Schl of Aviation & Transp Tech,"[('AT', 26700), ('AT', 38500)]",2,5,82,86
"Torres, Christopher M.",Assistant Professor of Military Science,Military Science,"[('MSL', 10100), ('MSL', 10100), ('MSL', 10100), ('MSL', 20100), ('MSL', 20100), ('MSL', 30100), ('MSL', 30100), ('MSL', 40100)]",8,24,138,243
"Triplett, Daniel P.",Assistant Professor of Practice,Computer Graphics Technology,"[('CGT', 11200), ('CGT', 11600), ('CGT', 24700)]",3,9,185,203
"Tyagi, Sonali",Student,Computer Information Tech,"[('CNIT', 42200)]",1,3,39,40
"Vhaduri, Sudip",Assistant Professor,Computer Information Tech,"[('CNIT', 27200), ('CNIT', 58100)]",2,6,181,195
"Vian, Wei",Assistant Professor of Practice,School of Engineering Tech,"[('MET', 11100), ('MET', 14400)]",2,6,216,240
"Voyles, Richard M.",Professor,School of Engineering Tech,"[('ECET', 58100), ('ECET', 58100)]",2,1,8,52
"Wallace, Lewie J.",Lecturer,Schl of Construction Mgmt Tech,"[('CM', 25000), ('CM', 35000)]",2,18,126,175
"Wang, Peng Hao",Assistant Professor,Schl of Aviation & Transp Tech,"[('AT', 26200), ('AT', 27200), ('AT', 30702)]",3,10,151,162
"Wang, Sen",Student,Schl of Aviation & Transp Tech,"[('AT', 10200)]",1,3,141,200
"Wang, Xiaoming",Associate Professor,School of Engineering Tech,"[('MET', 34600), ('MET', 44400), ('MET', 58100)]",3,9,71,110
"Weida, James R.",Lecturer,Schl of Construction Mgmt Tech,"[('CM', 25000)]",1,9,64,85
"White, Kevin C.",Professor of Military Science,Military Science,"[('MSL', 10100), ('MSL', 10100), ('MSL', 10100), ('MSL', 20100), ('MSL', 20100), ('MSL', 30100), ('MSL', 30100), ('MSL', 40100)]",8,24,138,243
"Whittinghill, David M.",Associate Professor,Computer Graphics Technology,"[('CGT', 36500), ('CGT', 36500), ('CGT', 38500), ('CGT', 54500)]",4,12,90,155
"Williams, Rua M.",Assistant Professor,Purdue Polytechnic Inst Admin,"[('TECH', 69700)]",1,3,41,45
"Wollin, Matthew K.",Unk,Technology Ldrshp & Innovatn,"[('TLI', 35560)]",1,3,15,25
"Wyman, Dan A.",Assistant Professor of Practice,Schl of Construction Mgmt Tech,"[('CM', 10000), ('CM', 30001), ('CM', 40000), ('CM', 45000)]",4,21,402,430
"Yang, Baijian",Professor,Computer Information Tech,"[('CNIT', 34000), ('CNIT', 62300)]",2,6,209,212
"Yother, Tracy L.",Assistant Professor,Schl of Aviation & Transp Tech,"[('AT', 36302), ('AT', 52600)]",2,7,39,53
"Zaman, Nasheet",Assistant Professor of Practice,Computer Graphics Technology,"[('CGT', 32101), ('CGT', 32101), ('CGT', 34000), ('CGT', 34000), ('CGT', 44200)]",5,15,158,195
"Zhang, Haiyan H.",Professor,School of Engineering Tech,"[('MET', 31400), ('MET', 48200)]",2,6,58,88
"Zhang, Jiansong",Associate Professor,Schl of Construction Mgmt Tech,"[('CM', 20001), ('CM', 58100)]",2,9,103,113
"Zhu, Yi",Student,Computer Information Tech,"[('CNIT', 17500)]",1,3,44,52
"Ziakkas, Dimitrios",Assistant Professor,Schl of Aviation & Transp Tech,"[('AT', 38800), ('AT', 53100), ('AT', 57400)]",3,9,62,105
"Zimpfer, Mark D.",Associate Professor of Practice,Schl of Construction Mgmt Tech,"[('CM', 10000), ('CM', 37600), ('CM', 45000)]",3,12,252,285
"Ziulkowski, Jonathon D.",Senior Lecturer,Schl of Aviation & Transp Tech,"[('AT', 10300), ('AT', 20200), ('AT', 20200)]",3,9,173,210
"Zuel, Brian C.",Assistant Professor of Practice,Computer Information Tech,"[('CNIT', 47100)]",1,3,18,40
