ACADEMIC_PERIOD,Department,Subject,Crs .,Title,IType,Sec .,CRN,Min Cr,Max Credit,Stat,Perm,Days,Meeting Time String,Dates,BldgRoom String,Enrl*,Lim**,Graduate Student,INSTRUCTOR_ID,Instructor,Instructor _Title,Grd?,Mode,Link ID,Link Cnct,XList Group,XList Enrl,XList Max Enrl,XList Seats Avail
202410,School of Engineering Tech,ENGT,48000,ET Capstone I,LEC,020,14758,3,3,,,MW,08:30 AM-09:20 AM,08/21/23-12/09/23,LMBS 4247B,94,100,No,34031743,"Aguirre, Milton E.",Assistant Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,School of Engineering Tech,ENGT,48000,ET Capstone I,LEC,003,24848,3,3,,,MW,08:30 AM-09:20 AM,08/21/23-12/09/23,LMBS 4247A,95,100,No,34031743,"Aguirre, Milton E.",Assistant Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,School of Engineering Tech,ENGT,48100,ET Capstone II,LEC,003,24847,3,3,,,R,08:30 AM-09:20 AM,08/21/23-12/09/23,LMBS 4247B,50,75,No,34031743,"Aguirre, Milton E.",Assistant Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,Technology Ldrshp & Innovatn,TLI,45570,Global Human Resources,LEC,001,19651,3,3,,,T,12:00 PM-01:15 PM,08/21/23-12/09/23,YONG 354,16,30,No,28556137,"Akdere, Mesut",Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,Naval Science,NS,31100,Naval Operations & Seamanship,LEC,002,63275,3,3,,,TR,01:30 PM-02:45 PM,08/21/23-12/09/23,KRAN G004,1,20,No,25576836,"Alcorn, Brandon M.",Professor,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,Naval Science,NS,31100,Naval Operations & Seamanship,LEC,003,21147,3,3,,,TR,07:30 AM-08:45 AM,08/21/23-12/09/23,AR 101,18,20,No,25576836,"Alcorn, Brandon M.",Professor,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,Schl of Construction Mgmt Tech,CM,23301,MEP Sys In Built Environment,LEC,001,21091,3,3,,,MW,11:30 AM-12:20 PM,08/21/23-12/09/23,KNOY B031,39,40,No,11865796,"Allison, Christopher S.",Lecturer,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,Schl of Construction Mgmt Tech,CM,35000,Advanced Const Mgmt,LEC,004,13236,9,9,,,MW,02:30 PM-05:20 PM,08/21/23-12/09/23,MSEE B012,62,90,No,11865796,"Allison, Christopher S.",Lecturer,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,Purdue Polytechnic Inst Admin,TECH,64600,Anlys Res Ind & Tech,DIS,008,23807,3,3,,,Unlisted,,08/21/23-12/09/23,ASYNC ONLINE,30,35,No,27733096,"Asunda, Paul A.",Associate Professor,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,Technology Ldrshp & Innovatn,TLI,26500,Teaching The TE Of STEM,LEC,001,20818,3,3,,,TR,09:30 AM-10:20 AM,08/21/23-12/09/23,YONG 310,7,15,No,27733096,"Asunda, Paul A.",Associate Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,Technology Ldrshp & Innovatn,OLS,37500,Training Methods,LEC,001,16796,3,3,,,TR,03:00 PM-04:15 PM,08/21/23-12/09/23,KRAN G002,41,45,No,27733096,"Asunda, Paul A.",Associate Professor,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,School of Engineering Tech,IET,33400,Economics Analysis - Tech Sys,LEC,003,10267,3,3,,,TR,12:00 PM-01:15 PM,08/21/23-12/09/23,FRNY G124,65,65,No,25397761,"Athinarayanan, Ragu",Professor,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,Computer Graphics Technology,CGT,34000,Digital Light & Render,LEC,003,19903,3,3,,,MW,11:30 AM-12:20 PM,08/21/23-12/09/23,DUDL 1383,15,30,Graduate Student,34779310,"Bal, Siddhant",Student,Y,Reg,A3,A4,Unk,0.0,0.0,0.0
202410,Computer Graphics Technology,CGT,34000,Digital Light & Render,LEC,001,13781,3,3,,,TR,11:30 AM-12:20 PM,08/21/23-12/09/23,DUDL 1383,17,30,Graduate Student,34779310,"Bal, Siddhant",Student,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,Computer Graphics Technology,CGT,44200,Productn Cmptr Animatn,LEC,003,13530,3,3,,,WF,03:30 PM-04:20 PM,08/21/23-12/09/23,SYNC ONLINE,70,75,Graduate Student,34779310,"Bal, Siddhant",Student,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,Computer Information Tech,CNIT,18000,Intro To Systems Devel,LEC,001,13397,3,3,,,MW,11:30 AM-12:20 PM,08/21/23-12/09/23,LILY G126,183,189,No,10035321,"Barlow, Victor M.",Assistant Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,Computer Information Tech,CNIT,38000,Adv Analysis & Design,LEC,004,15654,3,3,,,TR,10:30 AM-11:45 AM,08/21/23-12/09/23,KNOY B031,16,40,No,10035321,"Barlow, Victor M.",Assistant Professor,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,Schl of Aviation & Transp Tech,AT,26502,Aircraft Electrical Systems,LEC,006,12369,3,3,,,MF,11:30 AM-12:20 PM,08/21/23-12/09/23,NISW 149,60,60,No,24416859,"Barnes, Donald K.",Assistant Professor of Practice,Y,Reg,A1,A3,Unk,0.0,0.0,0.0
202410,Schl of Aviation & Transp Tech,AT,33502,Avionics Systems,LEC,003,14241,3,3,,,MW,08:30 AM-09:20 AM,08/21/23-12/09/23,TERM 255,15,15,No,24416859,"Barnes, Donald K.",Assistant Professor of Practice,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
