Instructor,Instructor_Title,Department,Courses,Course_count,Sum_MaxCredits,Sum_Enrollment,Sum_Capacity
"Sparkling, Anthony E.",Assistant Professor,Schl of Construction Mgmt Tech,"[('CM', 10000), ('CM', 30000), ('CM', 36200), ('CM', 41000)]",4,14.5,190,281
"Springer, John A.",Professor,Computer Information Tech,"[('CNIT', 48400), ('CNIT', 57000)]",2,6.0,65,64
"Starr, Todd A.",Adjunct Professor,Schl of Construction Mgmt Tech,"[('CM', 25000), ('CM', 35000)]",2,18.0,201,201
"Stephens, Matthew P.",Professor,School of Engineering Tech,"[('IET', 31600), ('IET', 43540), ('IET', 43630)]",3,9.0,104,175
"Sterkenburg, Ronald",Professor,Schl of Aviation & Transp Tech,"[('AT', 27200)]",1,3.0,40,40
"Strickland, Paul B.",Clinical Assistant Professor,Schl of Aviation & Transp Tech,"[('AT', 41600)]",1,2.0,72,72
"Strimel, Greg J.",Associate Professor,Purdue Polytechnic Inst Admin,"[('TECH', 34000)]",1,3.0,31,40
"Strimel, Greg J.",Associate Professor,Technology Ldrshp & Innovatn,"[('TLI', 46000)]",1,3.0,3,40
"Suckow, Michael W.",Professor of Practice and Associate Head for Engagement,Schl of Aviation & Transp Tech,"[('AT', 47500), ('AT', 49401), ('AT', 49501)]",3,6.0,155,164
"Sun, Wenhai",Assistant Professor,Computer Information Tech,"[('CNIT', 37000), ('CNIT', 48101)]",2,6.0,129,130
"Sundararajan, Rajeswari",Associate Professor,School of Engineering Tech,"[('ECET', 27400)]",1,3.0,55,60
"Sutton, Mathias J.",Associate Head for Academic Affairs,School of Engineering Tech,"[('IET', 33400)]",1,3.0,60,60
"Swanson, Dewey A.",Associate Professor,Computer Information Tech,"[('CNIT', 39200)]",1,3.0,1,0
"Tanoos, James J.",Clinical Associate Professor,School of Engineering Tech,"[('IET', 34300), ('IET', 34350)]",2,6.0,43,102
"Tao, Chengcheng",Assistant Professor,Schl of Construction Mgmt Tech,"[('CM', 20000), ('CM', 30000), ('CM', 41000)]",3,18.5,197,271
"Thom, James M.",Associate Professor,Schl of Aviation & Transp Tech,"[('AT', 26700), ('AT', 38500)]",2,5.0,63,84
"Toombs, Austin L.",Associate Professor,Computer Graphics Technology,"[('CGT', 49800)]",1,3.0,0,5
"Torbica, Zeljko M.",Professor,Schl of Construction Mgmt Tech,"[('CM', 10000), ('CM', 20000), ('CM', 30000), ('CM', 45000)]",4,27.0,356,376
"Torres, Christopher M.",Assistant Professor of Military Science,Military Science,"[('MSL', 10200), ('MSL', 10200), ('MSL', 10200)]",3,6.0,38,60
"Triplett, Daniel P.",Assistant Professor of Practice,Computer Graphics Technology,"[('CGT', 11200), ('CGT', 11600), ('CGT', 11600), ('CGT', 20500), ('CGT', 34800), ('CGT', 40500)]",5,12.0,441,665
Unk,Unk,Computer Graphics Technology,"[('CGT', 59700), ('CGT', 59700)]",2,6.0,0,0
Unk,Unk,Schl of Aviation & Transp Tech,"[('AT', 48000)]",1,3.0,0,0
"Vhaduri, Sudip",Assistant Professor,Computer Information Tech,"[('CNIT', 27200), ('CNIT', 58100)]",2,6.0,179,196
"Vian, Wei",Assistant Professor of Practice,School of Engineering Tech,"[('MET', 11100), ('MET', 14400)]",2,6.0,282,285
"Wallace, Lewie J.",Lecturer,Schl of Construction Mgmt Tech,"[('CM', 25000), ('CM', 35000), ('CM', 45000)]",3,24.0,299,306
"Wang, Hao",Student,Computer Graphics Technology,"[('CGT', 25001), ('CGT', 45001)]",2,2.0,317,400
"Wang, Peng Hao",Assistant Professor,Schl of Aviation & Transp Tech,"[('AT', 26200), ('AT', 30702)]",2,7.0,60,78
"Wang, Sen",Student,Schl of Aviation & Transp Tech,"[('AT', 10200)]",1,3.0,65,72
"Wang, Xiaoming",Associate Professor,School of Engineering Tech,"[('MET', 50300)]",1,3.0,34,35
"Weida, James R.",Lecturer,Schl of Construction Mgmt Tech,"[('CM', 25000), ('CM', 35000)]",2,18.0,201,201
"Weston, Richard E.",Student,Naval Science,"[('NS', 44000)]",1,3.0,12,40
"White, Kevin C.",Professor of Military Science,Military Science,"[('MSL', 10200), ('MSL', 10200), ('MSL', 10200), ('MSL', 20200), ('MSL', 20200), ('MSL', 30200), ('MSL', 30200), ('MSL', 40200)]",8,24.0,145,220
"Whitten, Jeffrey L.",Professor Emeritus,Computer Information Tech,"[('CNIT', 55100)]",1,3.0,1,12
"Whittinghill, David M.",Associate Professor,Computer Graphics Technology,"[('CGT', 20500), ('CGT', 40500), ('CGT', 55500)]",3,3.0,137,350
"Willis, Adam J.",Instructor,Aerospace Studies,"[('AFT', 24000), ('AFT', 24000)]",2,2.0,42,96
"Wong, Kai Chiu Oscar",Student,Computer Information Tech,"[('CNIT', 45500)]",1,3.0,1,3
"Wyman, Dan A.",Assistant Professor of Practice,Schl of Construction Mgmt Tech,"[('CM', 10000), ('CM', 30000), ('CM', 40000), ('CM', 41000), ('CM', 45000)]",5,24.5,298,426
"Xue, Xiaorui",Student,Schl of Construction Mgmt Tech,"[('CM', 41000)]",1,0.5,15,100
"Yang, Baijian",Professor,Computer Information Tech,"[('CNIT', 55500), ('CNIT', 62300)]",2,6.0,22,44
"Yother, Tracy L.",Assistant Professor,Schl of Aviation & Transp Tech,"[('AT', 36302), ('AT', 52600)]",2,7.0,62,85
"Zaman, Nasheet",Assistant Professor of Practice,Computer Graphics Technology,"[('CGT', 24600), ('CGT', 34000), ('CGT', 44200)]",3,9.0,66,90
"Zhang, Haiyan H.",Professor,School of Engineering Tech,"[('MET', 31400), ('MET', 38200)]",2,6.0,89,98
"Zhang, Jiansong",Associate Professor,Schl of Construction Mgmt Tech,"[('CM', 10000), ('CM', 20000), ('CM', 41000)]",3,12.5,190,290
"Zhu, Yi",Student,Computer Information Tech,"[('CNIT', 17500)]",1,3.0,40,40
"Ziakkas, Dimitrios",Assistant Professor,Schl of Aviation & Transp Tech,"[('AT', 38800)]",1,3.0,52,65
"Zimmermann, Natalie",Student,Schl of Aviation & Transp Tech,"[('AT', 26200)]",1,4.0,35,36
"Zimpfer, Mark D.",Associate Professor of Practice,Schl of Construction Mgmt Tech,"[('CM', 10000), ('CM', 30000), ('CM', 36200), ('CM', 41000), ('CM', 45000)]",5,20.5,288,386
"Ziulkowski, Jonathon D.",Senior Lecturer,Schl of Aviation & Transp Tech,"[('AT', 10300), ('AT', 10600), ('AT', 20200)]",3,9.0,239,282
