ACADEMIC_PERIOD,Department,Subject,Crs .,Title,IType,Sec .,CRN,Min Cr,Max Credit,Stat,Perm,Days,Meeting Time String,Dates,BldgRoom String,Enrl*,Lim**,Graduate Student,INSTRUCTOR_ID,Instructor,Instructor _Title,Grd?,Mode,Link ID,Link Cnct,XList Group,XList Enrl,XList Max Enrl,XList Seats Avail
202410,Schl of Aviation & Transp Tech,AT,54800,Aircraft Asset Management,LEC,001,25745,3,3,,,MW,03:00 PM-04:15 PM,08/21/23-12/09/23,NISW 149,12,25,,011833046,"Cutter, Jason E.",Assistant Professor,Y,Reg,,,,,,
202410,Schl of Aviation & Transp Tech,AT,37600,Arcr Gas Trb Eng Tch I,LEC,001,11783,4,4,,,MW,09:30 AM-10:20 AM,08/21/23-12/09/23,NISW 149,36,36,,023136686,"Davis, John M.",Associate Professor of Practice and Associate Head for Undergraduate Affairs,Y,Reg,A1,A2,,,,
202410,Schl of Aviation & Transp Tech,AT,47600,Arcr Gas Trb En Tch II,LEC,001,11837,3,3,,,MW,08:30 AM-09:20 AM,08/21/23-12/09/23,NISW 149,46,54,,023136686,"Davis, John M.",Associate Professor of Practice and Associate Head for Undergraduate Affairs,Y,Reg,A1,A2,,,,
202410,Schl of Construction Mgmt Tech,CM,58100,Modular Design & Constru,LEC,007,21020,3,3,,,TR,04:30 PM-05:45 PM,08/21/23-12/09/23,SC G040,23,24,,026791641,"De Cresce El Debs, Luciana",Assistant Professor,Y,Reg,,,,,,
202410,Computer Information Tech,CNIT,24000,Data Comm & Networking,LEC,005,24643,3,3,,,MW,12:30 PM-01:20 PM,08/21/23-12/09/23,MATH 175,6,120,,014556591,"Deadman, Robert C.",Clinical Assistant Professor,Y,Reg,A1,A2,8A,120,120,0
202410,Computer Information Tech,CNIT,24200,System Administration,LEC,001,36500,3,3,,,MW,03:30 PM-04:20 PM,08/21/23-12/09/23,SMTH 108,175,180,,014556591,"Deadman, Robert C.",Clinical Assistant Professor,Y,Reg,A1,A2,,,,
202410,Computer Information Tech,CNIT,34010,UNIX Fundamentals,LEC,003,17072,1,1,,Dept,,,08/21/23-12/09/23,ASYNC ONLINE,11,50,,014556591,"Deadman, Robert C.",Clinical Assistant Professor,Y,Reg,,,,,,
202410,Computer Information Tech,CNIT,34400,Network Engr Fundamentals,LEC,003,13355,3,3,,,MW,12:30 PM-01:20 PM,08/21/23-12/09/23,MATH 175,114,120,,014556591,"Deadman, Robert C.",Clinical Assistant Professor,Y,Reg,A3,A4,8A,120,120,0
202410,Computer Information Tech,CNIT,34500,Internet Desgn&Implem,LEC,001,36490,4,4,,,MW,08:30 AM-09:20 AM,08/21/23-12/09/23,KNOY B041,18,18,,014556591,"Deadman, Robert C.",Clinical Assistant Professor,Y,Reg,A1,A2,,,,
202410,Military Science,MSL,30100,Training Mgmt Warfight Functn,LEC,006,53145,4,4,,Dept,TR,10:30 AM-11:45 AM,08/21/23-12/09/23,AR 102,17,32,,035635942,"Decker, Patrick",Assistant Professor of Military Science,Y,Reg,A1,A2,,,,
