seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,magnetometer_z,magnetometer_y,magnetometer_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,microphone_dBFS,gyroscope_z,gyroscope_y,gyroscope_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,class
10,0.025420809255062956,0.14373924677233094,0.069962215,31.68193546295166,-19.1265497,-17.61277365,-0.806087988,0.008696579,0.027488812,0.5908241144661764,0.054495212,-0.018420658,1.877079234539884,9.950306123900182,0.3265593086043825,-0.471516737,14.375539779663086,1.2402015924453735,1.2156941890716553,4.8480000495910645,4.707320213317871,97.41468811035156,160.39999389648438,-86.9155767,40.3843083,-27.25,0.16109762044207562,0.009874376,0.002486386,0.1391071191835172,0.022854880042695123,0.002791809,-31.43744738,6.672545866966248,-44.67286118,9.950306123900182,0.3265593086043825,-0.471516737,Drive
11,-0.004863683,-0.153691697,0.21929224891570007,31.36436923980713,-16.15694768,-17.51224571,-0.776736371,0.004951036,0.011599478999026192,0.6296027887214735,0.024301451,-0.006815472,1.7793855215739278,9.924118671602416,-0.085961574,-0.022005837,7.049795150756836,0.9209777116775513,1.2256656885147095,4.696000099182129,5.6460652351379395,91.04416656,160.39999389648438,-86.9155092,40.3843099,-32.5,0.051690725,-0.006173709,0.011975274880154475,0.029700224088884675,0.006806796,0.012280698723241109,-31.75550137,9.641659879684449,-44.57221111,9.924118671602416,-0.085961574,-0.022005837,Drive
12,-0.063267513,0.07283887,0.12748001313325272,31.59665740966797,-16.14852974,-17.84054762,-0.774911138,-0.007091849,0.002579544,0.6320129708178992,-0.004960888,-0.014264714,1.7731976196603867,9.916170532886799,0.2144596049116584,0.1802238353814643,4.9607954025268555,1.142015814781189,1.2356977462768555,3.934999942779541,5.561911582946777,87.01727294921875,160.39999389648438,-86.9154448,40.3843206,-31.66666667,0.018479612,-0.007027709,0.001917052,-0.003510889,0.005952796,0.002222476,-31.52357941,9.650931825637818,-44.90063492,9.916170532886799,0.2144596049116584,0.1802238353814643,Drive
13,0.009625787,-0.031969627,0.035340179,31.790881271362306,-15.7393417,-18.12919968,-0.780402464,-0.016156828,-0.005871061,0.6250163831757111,-0.029366783,-0.017900107,1.7907558679580688,9.935237782672772,0.14567469381862908,0.3279357614375434,6.415266513824463,1.158015489578247,1.2456406354904175,3.928999900817871,5.941308022,86.99723052978516,160.39999389648438,-86.9153754,40.3843246,-31.125,0.007662278,-0.021676182,0.009603053,-0.014328223,-0.008695678,0.009908476,-31.32911137,10.060729751586914,-45.18904293,9.935237782672772,0.14567469381862908,0.3279357614375434,Drive
14,0.042893012,-0.180903637,0.038475246,31.965829429626464,-16.23014768,-18.29438765,-0.783270095,-0.018404529,-0.007975201,0.6213329908917251,-0.035375501,-0.01890866,1.8000330427317943,10.003386691936011,0.00974843,0.38916182248554765,5.3286895751953125,1.0404325723648071,1.255690336227417,3.947999954223633,6.4212775230407715,85.0065918,160.39999389648438,-86.9153046,40.3843428,-29,0.004768167,0.022387848,-0.007559976,-0.017222334,0.035368353,-0.007254552,-31.1542853,9.570045804977417,-45.35423107,10.003386691936011,0.00974843,0.38916182248554765,Drive
15,-0.008800136,-0.047955896,-0.008217015,31.765871353149414,-15.88317972,-17.99597559,-0.787428539,-0.012295623,-0.007763389,0.6162225951268835,-0.027385011,-0.009803197,1.8134114626541877,9.956686066192331,0.046363842,0.26520257457656765,4.775444507598877,1.015135407447815,1.2656807899475098,3.947999954223633,6.478893280029297,85.99401092529297,160.39999389648438,-86.9152277,40.3843601,-33.5,0.002502695,-0.016350543,0.005451664,-0.019487807,-0.003370038,0.005757087,-31.35485336,9.917501792907714,-45.0559412,9.956686066192331,0.046363842,0.26520257457656765,Drive
16,-0.03617316,-0.174211527,-0.004534738,32.09978532791138,-15.97040967,-18.45994167,-0.787119855,-0.010114939,-0.018845422,0.6164038043755752,-0.042128886,0.00730883,1.813027526323612,9.908870234072786,-0.249367547,0.41410351295060327,4.283446788787842,1.0068763494491577,1.2757132053375244,3.9000000953674316,6.676743030548096,85.99850463867188,160.39999389648438,-86.9151428,40.3843666,-25.66666667,0.003124719,-0.00375906,-3.52E-05,-0.018865783,0.009221444,2.701824979829745E-4,-31.02093941,9.830149803161621,-45.519907,9.908870234072786,-0.249367547,0.41410351295060327,Drive
17,0.009522975,0.25001548028107984,0.024721043,32.27326934814453,-16.1653656,-18.57510958,-0.792097241,-0.011849429,-0.020389919,0.6098574278424087,-0.046684794,0.00606709,1.829444058,9.917947843236831,0.18985189194904042,0.4876479625484897,3.9501805305480957,0.9986490607261658,1.285758376121521,3.9000000953674316,6.709399223327637,85.99954223632812,160.39999389648438,-86.9150654,40.3843818,-22.88888889,0.003380417,-0.011345153,0.001418885,-0.018610084,0.001635351,0.001724309,-30.84635744,9.634339780807496,-45.63495323,9.917947843236831,0.18985189194904042,0.4876479625484897,Drive
18,-0.021390017,0.073980927,0.054779322,32.813851280212404,-16.12120163,-19.12813559,-0.804175632,-0.028984085,-0.02022068,0.5933169491082719,-0.066971783,-0.022647343,1.8695349427102839,9.871990564957406,0.29864982199104667,0.7184682290241556,3.598895788192749,0.9986490607261658,1.2957496643066406,3.9000000953674316,7.054052829742432,86.99463653564453,160.39999389648438,-86.9149806,40.3843871,-27,-0.002787361,-0.013800404,0.002154274,-0.024777863,-8.20E-04,0.002459698,-30.30638535,9.678869800567627,-46.18810112,9.871990564957406,0.29864982199104667,0.7184682290241556,Drive
19,-0.004078597,-0.155011481,0.088216112,33.51266731262207,-16.46499765,-19.32492165,-0.808822104,-0.031413424,-0.023798962,0.5867205829296297,-0.075452551,-0.022889027,1.8855951549937424,9.932293160447797,0.073056592,0.8394190250959211,3.3463470935821533,1.0068763494491577,1.3057206869125366,3.9000000953674316,7.403885841369629,87.99551391601562,160.39999389648438,-86.9148907,40.3843869,-27.88888889,-0.019547112,-0.003350764,0.001430747,-0.041537613,0.00962974,0.00173617,-29.60781342,9.334585857391357,-46.38513107,9.932293160447797,0.073056592,0.8394190250959211,Drive
20,-0.005944141,-0.108911473,0.036488567741171825,33.09408550262451,-17.09012569,-19.29124962,-0.81032133,-0.025923225,-0.034693487,0.5843658175283265,-0.086645039,-0.001451288,1.8919586267286135,9.915305295036834,-0.094400338,0.8983509989220251,3.1702394485473633,1.0068763494491577,1.3158230781555176,3.9000000953674316,7.685195446014404,89.99388122558594,160.39999389648438,-86.914794,40.3843897,-27.375,-0.021183946,0.014120653,-0.005235198,-0.043174447,0.027101158,-0.004929775,-30.02651747,8.709823828,-46.35170311,9.915305295036834,-0.094400338,0.8983509989220251,Drive
21,-0.009374396,-0.012819333,-0.084239206,32.859967346191404,-17.35254763,-18.89511566,-0.816842367,-0.017988798,-0.028891965,0.5758480690057995,-0.067971366,0.003894198,1.9136188331159574,9.935442502682026,-0.050024949,0.5917634462507871,3.354358673095703,1.0872442722320557,1.3257629871368408,3.9000000953674316,7.709558963775635,90.99641418457031,160.39999389648438,-86.9147021,40.3843891,-28.22222222,-0.003985334,0.002034181,4.299651453886362E-5,-0.025975835,0.015014685067072403,3.4842009879919945E-4,-30.2597814,8.447157802581787,-45.954837,9.935442502682026,-0.050024949,0.5917634462507871,Drive
22,0.018694349862996815,-0.003648374,-0.026188848,32.59339721679687,-17.12025955,-18.79300173,-0.820851539,-0.01201947,-0.023700445,0.5705162008989204,-0.052650561,0.007317149,1.9270188357066182,9.941722175450002,-0.078446251,0.4936619640635417,2.913687229156494,1.0043903589248657,1.335769534111023,3.9000000953674316,7.660791397094727,90.00267791748047,160.39999389648438,-86.9146125,40.3843894,-26.875,0.008895834,0.010419986708071625,-0.001060087,-0.013094668,0.023400491,-7.55E-04,-30.52720537,8.679079885482787,-45.85284508,9.941722175450002,-0.078446251,0.4936619640635417,Drive
23,0.001705818,-0.019587441,0.009537784,32.903277206420896,-17.14380558,-18.74273767,-0.822514067,-0.011313496,-0.023657022,0.5681256599796628,-0.051797103,0.008269898,1.932872861334421,9.966928157991576,-0.103631871,0.5316044617154934,2.763658285140991,1.0101979970932007,1.3457880020141602,3.9000000953674316,7.699304580688477,90.00001525878906,160.39999389648438,-86.9145222,40.3843883,-26.55555556,0.007638556,-0.018117848,0.001857747,-0.014351945,-0.005137344,0.00216317,-30.21512945,8.655899806022644,-45.80245914,9.966928157991576,-0.103631871,0.5316044617154934,Drive
24,0.04420948,0.007395416,0.029150018124904448,33.24804931640625,-17.2202997,-19.42569365,-0.824769817,-0.013462027,-0.026593267,0.5646773125361471,-0.059104103,0.007830774,1.9411281463011956,9.933251436474254,-0.066357269,0.6132885740834821,2.617187738418579,0.9904544353485107,1.3556724786758423,3.9000000953674316,7.699978351593018,89.00221252441406,160.39999389648438,-86.9144333,40.38439,-29.625,3.439722428984434E-4,0.007846125,0.003435275,-0.021646529,0.020826629856917828,0.003740698,-29.87023548,8.580015855,-46.48565926,9.933251436474254,-0.066357269,0.6132885740834821,Drive
25,0.009322818,-0.003211279,0.004327973,32.54301128387451,-17.00484768,-18.79739363,-0.828406443,-0.013302351,-0.024482704,0.5594290322982348,-0.055476491,0.005357632,1.9538184759708552,9.941829644360588,-0.058319244,0.5550883905690851,2.4881510734558105,0.9904544353485107,1.3657417297363281,3.9000000953674316,7.8573479652404785,89.99800872802734,160.39999389648438,-86.9143397,40.3843883,-28.77777778,9.985003271140158E-4,0.012287427,-2.11E-04,-0.020992001,0.025267932049106233,9.39764577196911E-5,-30.57685942,8.796199884414673,-45.85772503,9.941829644360588,-0.058319244,0.5550883905690851,Drive
26,0.010701679488987599,0.047074095192320135,0.013123099665039951,32.39429355621338,-16.99411171,-18.64367367,-0.832335179,-0.012456952,-0.021223883,0.5537180935294883,-0.04913936,0.002765094,1.9676049288036754,9.944826533493487,0.019607208,0.5016709480760166,2.372555971,0.9904544353485107,1.3757673501968384,3.9000000953674316,7.8993754386901855,89.00181579589844,160.39999389648438,-86.9142433,40.3843861,-26.22222222,-0.001518222,-2.91E-04,0.001988219,-0.023508724,0.012689907061392712,0.002293642,-30.72533348,8.805349874,-45.7037611,9.944826533493487,0.019607208,0.5016709480760166,Drive
27,-0.069159036,-0.045283005,-0.017594133,32.54288921356201,-17.14917372,-18.53192162,-0.834659612,-0.012741058,-0.023417016,0.5501145627892133,-0.053133269,0.004496543,1.9762419624236023,9.857160346,-0.089977681,0.5103449319100496,2.2750439643859863,0.9904544353485107,1.3858622312545776,3.878000020980835,8.067147254943848,89.99824523925781,160.39999389648438,-86.9141483,40.3843847,-29.5,-0.002063833,-0.007241209,3.751076523946978E-4,-0.024054335,0.005739296,6.805313089907676E-4,-30.57759144,8.651507883071899,-45.59200909,9.857160346,-0.089977681,0.5103449319100496,Drive
