seconds_elapsed,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,gyroscope_z,gyroscope_y,gyroscope_x,microphone_dBFS,accelerometer_z,accelerometer_y,accelerometer_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,magnetometer_z,magnetometer_y,magnetometer_x,class
0,0.053010678717068264,0.001696597,0.024715079216375238,0.9982739055440539,7.842648618688621E-4,-0.049541376,-0.106084581,9.842048798078372,0.5108380928451632,-0.083494001,-108.0699147,75.78886954392058,-21.33733631,-0.008954127,0.023633084566582266,-0.00504694,0.011699129,0.01381252,-0.006052303,-84.625,-0.047815353,0.017476702834430494,-0.057595778,9.844535249,0.5046861753577278,-0.077795221,45,1.5,1.2085942029953003,24.027000427246094,0,0,154.79998779296875,-86.9098593,40.425965,-44.96248894,50.005816507339475,5.731254893541336,Campus
1,0.046923063,0.004205484,-0.010301806,0.9986488356173617,0.009227997,0.020130353,-0.093733957,9.920105443417448,0.5091717488164064,0.15092786662823077,-106.1493925,80.34492835998535,-21.85507963,-0.046602308,0.022970525,-0.120486656,-0.025986213,0.009828414,-0.121256147,-65.625,0.069872949,0.6993815206280611,0.23506966992778686,9.920105443417448,0.5091717488164064,0.15092786662823077,45,1.5,1.2085942029953003,24.027000427246094,0,0,154.79998779296875,-86.9098593,40.425965,-43.02939896,54.544734992980956,5.204763917922974,Campus
2,0.057710527120014794,0.010583837333425751,0.013176998159346672,0.997487142,0.020572899260794378,-0.027520737,-0.115523218,9.852612736155686,0.007904445,-0.140508635,-104.398448,78.81236503601075,-19.54122765,-0.051687076,0.014500281451126704,0.15187924184675256,-0.031070983,0.001350912,0.1510554778461273,-59.55555556,-0.074983785,-0.254683774,0.070902379,9.852612736155686,0.007904445,-0.140508635,24.62524986,1.1301770210266113,1.2348356246948242,17.81800079345703,1.2145085334777832,320.5373229980469,154.79998779296875,-86.9101672,40.4258012,-41.27821121,53.012171020507814,7.518737897872925,Campus
3,0.034115611,0.002468958,0.045873975724849886,0.998025038,0.002156989,-0.092017558,-0.068364067,9.864812105604745,0.40905651524301295,-0.239735278,-105.5983178,73.60723464965821,-19.63162958,-0.124861925,-0.00169762,0.026254571,-0.104245828,-0.014842699,0.025465806046482718,-54.33333333,-0.012274997,-0.50226299,-0.218037887,9.864812105604745,0.40905651524301295,-0.239735278,5.7911834716796875,1.0653167963027954,1.244862675666809,14.723999977111816,1.1913878917694092,336.51348876953125,154.79998779296875,-86.9101963,40.4257809,-42.47795937,47.80691895,7.428091846,Campus
4,0.033115304618829736,0.013534360535752799,0.029246694146140107,0.998443843,0.02566949,-0.058958426,-0.065465374,10.19406916331319,0.2096914157307553,-0.438107236,-104.9515961,74.15269676208496,-19.06628164,0.037350642,0.018758348578098907,-0.058327017,0.057966736,0.005617719,-0.059115781,-49.75,0.2979494854084496,-0.374288916,-0.184270581,10.19406916331319,0.2096914157307553,-0.438107236,7.507186412811279,1.0983624458312988,1.2548085451126099,12.63700008392334,1.1344531774520874,336.0510254,154.79998779296875,-86.9102006,40.4257749,-41.83074928,48.352503089904786,7.993561831,Campus
5,0.10115021884947725,-0.001057884,0.028515726332417102,0.9931694228672286,-0.007179339,-0.055711512,-0.203111141,9.904880227394475,0.14847696933429688,-0.205474934,-105.7537462,71.71684502,-18.43029567,0.2522384038836994,0.009144918,-0.010904811,0.2728544992747382,-0.004001641,-0.011695055,-47.66666667,-0.003919875,-0.404046252,-0.276691805,9.904880227394475,0.14847696933429688,-0.205474934,12.110150337219238,1.1661903858184814,1.264809012413025,7.945000171661377,1.001452922821045,326.64202880859375,154.79998779296875,-86.9102181,40.4257678,-42.63399719,45.91628490447998,8.629547825,Campus
6,0.17399230433031193,0.010392586957184074,0.003718861,0.9843098897378422,0.019578500174989615,-0.011050405,-0.349861941,9.774786871213179,0.092767895,-0.219524216,-105.4949837,70.85210845947266,-14.25984769,-0.075163867,-0.00874757,-0.003767386,-0.054544806,-0.021888199,-0.004578389,-49,-0.158364564,-8.04E-04,-0.032406739,9.774786871213179,0.092767895,-0.219524216,11.841349601745605,0.840595007,1.2748135328292847,7.269000053405762,0.826321542,318.8500061035156,154.79998779296875,-86.9102331,40.4257711,-42.37547916,45.05167114257812,12.799995746612549,Campus
7,0.12411889404926485,0.01203215,0.020923088747754837,0.9910068488815456,0.019526694869781952,-0.044036442,-0.24866573,9.932728754,-0.510858924,-0.17809105,-107.8033463,70.90249465942382,-15.96674973,0.082636367,0.018092644685716593,-0.005040973,0.1032524611258391,0.004941635,-0.005823805,-50.88888889,0.053114933,-0.962250128,0.030531615235851805,9.932728754,-0.510858924,-0.17809105,14.144542694091797,0.9152595400810242,1.2848408222198486,5.7270002365112305,0.5439416766166687,319.2972412109375,154.79998779296875,-86.9102434,40.4257739,-44.68323105,45.10144714355469,11.093215789794922,Campus
8,0.20236335911797088,0.006926934,0.005892873,0.9784336119022184,0.011036946234808675,-0.014739399,-0.407787015,9.902632621,0.26617828648971414,-0.303778126,-108.293176,68.56607276916503,-14.07404169,0.19846012367351543,0.047027826,-0.020964515,0.21907621775799005,0.033894609442337874,-0.021729557,-51.75,-0.007843712,0.11305006799622647,-0.202227126,9.902632621,0.26617828648971414,-0.303778126,14.322286605834961,0.840595007,2.2535035610198975,4.800000190734863,0.2308315634727478,319.7786560058594,154.79998779296875,-86.9102536,40.4257767,-45.17354893,42.766489295959474,12.985923728942872,Campus
9,0.3014259977826794,-0.004972138,-0.010256379,0.9530659751984679,-0.003025732,0.022475897316432115,-0.612536928,9.901868885003248,0.4690077576641608,-0.051916121,-107.8320161,68.21349258422852,-10.95279372,0.07669395,-0.036437337,-0.027003305,0.097310044,-0.049572034,-0.027814308,-44.11111111,0.1856543855759704,0.6893035876338632,-0.090093591,9.901868885003248,0.4690077576641608,-0.051916121,20.194110870361328,1.174776554107666,2.2633278369903564,4.304999828338623,0.5869313478469849,318.2502746582031,154.79998779296875,-86.9102632,40.4257772,-44.71238907,42.41390919,16.10704962730408,Campus
