seconds_elapsed,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,magnetometer_z,magnetometer_y,magnetometer_x,microphone_dBFS,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,gyroscope_z,gyroscope_y,gyroscope_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,accelerometer_z,accelerometer_y,accelerometer_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,class
0,0.9993807703633851,-0.010150457,0.031657086331633076,0.011521359210055841,-0.063563838,0.019560117463145076,-3.117914794,-53.45481312,-13.77085993,-3.013546903,-135.625,9.895570968179142,-0.196609086,0.6284185718087589,-0.020892522,0.015679057581420942,2.3776649635968896E-4,9.895757472515106,-0.196121725,0.6288038864731789,4.871313583954603E-4,-5.08E-04,2.3776649635968896E-4,45,1.5,1,11.479999542236328,0,0,160.1999969482422,-86.9155082,40.3848558,2.623207961456685E-5,-0.002176877,-8.98E-04,-115.0060841,29.85249568797924,-31.34511293,Home
1,0.999373617,-0.010391943,0.031712028,0.011773026991382387,-0.063684777,0.020025525712272497,-3.117395031,-53.41184319,-13.74329974,-3.107217929,-110.875,9.871456183,-0.200529572,0.6289435601928859,-0.020923001,0.015773796,4.0031250710915594E-5,9.871456183,-0.200529572,0.6289435601928859,4.5665280522724376E-4,-4.14E-04,4.0031250710915594E-5,45,1.5,1,11.479999542236328,0,0,160.1999969482422,-86.9155082,40.3848558,-0.011664428,-0.002473432,-0.001364814,-114.9719434,29.878165512084962,-31.42866337,Home
2,0.999369299,-0.010502436,0.031881974268596146,0.011585659609691611,-0.064023947,0.020254252496564273,-3.117759126,-53.43587692,-13.75818372,-3.063785918,-144.2222222,9.871162952,-0.200610881,0.63004995,-0.021029751,0.015678907419075665,1.4678125825791973E-4,9.871162952,-0.200610881,0.63004995,3.499027988104855E-4,-5.09E-04,1.4678125825791973E-4,45,1.5,1,11.479999542236328,0,0,160.1999969482422,-86.9155082,40.3848558,2.654455240490367E-4,-1.80E-04,-0.002664716,-114.9956122,29.86120750427246,-31.38254738,Home
3,0.9993813840242532,-0.010307407,0.031701927,0.011202481646950428,-0.063651181,0.019893059,-3.118541408,-53.38463692,-13.78441369,-3.051097934,-144.125,9.917741618110139,-0.194036427,0.6284702252415777,-0.021179953,0.015882029,3.52411868964107E-5,9.917741618110139,-0.194036427,0.6284702252415777,1.9970006542280316E-4,-3.05E-04,3.52411868964107E-5,0,0.18439088761806488,1.0274441242218018,13.57800006866455,0.044733528047800064,0,160.1999969482422,-86.9155117,40.3848561,0.023334301435030423,0.003015579,-0.001931885,-114.9441277,29.83570945739746,-31.37034744,Home
4,0.9993929886123509,-0.010103409,0.031593896882626614,0.010646905379315603,-0.063419166,0.01952302,-3.119667421,-53.31180271,-13.72182777,-3.069641917,-134.5555556,9.937200870328736,-0.19317687,0.6294227063077168,-0.021219528,0.016058463,-4.30E-05,9.937200870328736,-0.19317687,0.6294227063077168,1.6012500962513744E-4,-1.29E-04,-4.30E-05,45,0.15556348860263824,1.037537693977356,12.055000305175781,1.185073971748352,13.475727081298828,160.1999969482422,-86.9155053,40.3848749,0.011051492783629779,9.135851292934233E-4,-8.18E-04,-114.8715377,29.898783378601074,-31.39084343,Home
5,0.9993977106890632,-0.010042436,0.031531054,0.010447610757376963,-0.063288129,0.019415144,-3.120071004,-53.38793076,-13.77331173,-3.032797925,-142.375,9.929990435109556,-0.193246564,0.6289580828935197,-0.021314417,0.016117769,6.375347605445287E-5,9.929990435109556,-0.193246564,0.6289580828935197,6.52361150324634E-5,-6.97E-05,6.375347605445287E-5,45,0.1063014566898346,1.0474129915237427,10.95199966430664,0.8276092410087585,181.9645538330078,160.1999969482422,-86.915508,40.384856,-0.004064615,-7.71E-05,-4.79E-04,-114.9471782,29.846079444885255,-31.35119333,Home
6,0.9993925829535549,-0.010274984,0.031571039,0.010589483,-0.063376271,0.019870149966293167,-3.119771724,-53.36243301,-13.82186769,-3.054757926,-157.1111111,9.886797580904174,-0.199286699,0.6284005265791439,-0.021492334,0.016177074115687202,-1.62E-04,9.886797580904174,-0.199286699,0.6284005265791439,-1.13E-04,-1.04E-05,-1.62E-04,45,0.092195444,1.0574103593826294,9.579999923706055,1.4498165845870972,121.86517333984375,160.1999969482422,-86.9154828,40.3848495,-0.020362965,-0.002126341,-2.08E-04,-114.9225336,29.799231395721435,-31.37412931,Home
7,0.9993846590079151,-0.010459926,0.031625016511065286,0.010988122874020952,-0.063496609,0.020213352823720394,-3.118961783,-53.40452293,-13.77099373,-3.059881954,-150.8888889,9.876697430243858,-0.199777682,0.6283460311018504,-0.021338139,0.016188935222990305,-1.14E-04,9.876697430243858,-0.199777682,0.6283460311018504,4.151389138429489E-5,1.4826621480503128E-6,-1.14E-04,45,0.086023256,1.0674617290496826,8.673000336,1.2242650985717773,132.93646240234375,160.1999969482422,-86.9154749,40.3848416,-0.006899667,3.6499497381228845E-4,9.824928728122156E-5,-114.9647456,29.849007377624513,-31.37961939,Home
8,0.9993862932168164,-0.010495948,0.031628391,0.010793915931677934,-0.063500283,0.020297617497808725,-3.119347716,-53.44429504,-13.79246572,-3.110999935,-157.25,9.879107882675616,-0.201075507,0.6273783578456027,-0.021361862,0.016046601890143262,4.447915803785753E-6,9.879107882675616,-0.201075507,0.6273783578456027,1.779166773612638E-5,-1.41E-04,4.447915803785753E-6,45,0.086023256,1.0774095058441162,8.102999687194824,0.538934588,146.72959899902344,160.1999969482422,-86.915476,40.3848398,7.448566770090641E-4,-2.97E-04,-6.87E-04,-115.0040296,29.82680341720581,-31.43098125,Home
9,0.999386016,-0.010520439,0.031637824384622204,0.010767815634608269,-0.063519209,0.020348021543575723,-3.119398147,-53.39756889,-13.82796773,-3.141621952,-147.6666667,9.885798528,-0.200634112,0.62863284,-0.021385584,0.016094046373607465,-9.04E-05,9.885798528,-0.200634112,0.62863284,-5.93E-06,-9.34E-05,-9.04E-05,45,0.086023256,1.0874743461608887,6.327000141143799,0.773293138,109.44869232177734,160.1999969482422,-86.915464,40.3848386,0.002749619,8.030509196438835E-4,2.4086294822322512E-4,-114.9576694,29.79191135406494,-31.46221325,Home
