seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,microphone_dBFS,gyroscope_z,gyroscope_y,gyroscope_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,magnetometer_z,magnetometer_y,magnetometer_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,class
10,-7.90E-04,-0.00639507,-7.47E-04,9.873117252460961,-0.265751414,-0.202463577,0.9989612744404719,-0.012666649,-0.01074072,0.042432542,0.020392604691621203,0.026221479002672892,-3.056957754,-94,-5.87E-05,1.0572356852487876E-4,7.518120289135438E-4,67.82257080078125,2.3025639057159424,1.1040079593658447,6.788000106811523,1.3630928993225098,3.308590888977051,160.1999969482422,-86.9155149,40.3847406,-104.9529382,-12.41947776,-30.96860134,-0.021591101,0.012933516145074883,9.045238067091515E-4,-44.89294922,-42.35876518,4.610623941421509,9.873117252460961,-0.265751414,-0.202463577,Drive
11,9.049813724258571E-4,-0.003384489,0.001891682,9.875681469741377,-0.260303675,-0.200674768,0.9989630857717644,-0.012556789,-0.010795917,0.042408689,0.020512802,0.026006134841771958,-3.057004956,-80.625,-2.68E-04,1.2305904873782426E-4,4.6851391705132804E-4,63.46324920654297,2.4667792320251465,1.0637680292129517,6.539999961853027,1.7512544393539429,8.724746704101562,160.1999969482422,-86.915509,40.3847782,-104.9258542,-12.3629917,-30.90650333,-0.021800723,0.012950851600074652,6.212257035302667E-4,-44.86586514,-42.30362125,4.672599940299988,9.875681469741377,-0.260303675,-0.200674768,Drive
12,0.017312124,-5.92E-04,0.002962672,9.905765968619042,-0.256273049,-0.200233374,0.9989632651643846,-0.012475997,-0.010810371,0.042424601,0.020548077842708932,0.025846243,-3.056971971,-89.11111111,-1.62E-04,5.975034923148025E-4,7.531806076108251E-4,91.71468353271484,1.2453112602233887,1.0737680196762085,6.100999832,0.2962586581707001,0.1472429633140564,160.1999969482422,-86.9155063,40.3847935,-104.8722963,-12.37128772,-30.95652342,-0.021693973,0.013425296082079988,9.058923969153785E-4,-44.81255116,-42.3111853,4.624165868759155,9.905765968619042,-0.256273049,-0.200233374,Drive
13,0.013533786662573953,0.001968748,0.003899104,9.933054072185627,-0.249501127,-0.199675822,0.9989645243848412,-0.01222409,-0.010787345,0.042474252434031474,0.020521972744354924,0.025341934587770294,-3.056867359,-79.625,-3.04E-04,3.1283682888120557E-4,1.957083450973902E-4,45,1.3656500577926636,1.0837680101394653,5.689000129699707,0.30367687344551086,0.25323614478111267,160.1999969482422,-86.915504,40.3847988,-104.8467985,-12.39666372,-30.95896341,-0.021836306,0.013140629384739018,3.484201411834186E-4,-44.78693115,-42.33656109,4.621481900215149,9.933054072185627,-0.249501127,-0.199675822,Drive
14,0.002737712,-0.001446577,0.004202946,9.932983572666462,-0.252842551,-0.201043117,0.9989687169639809,-0.012219853,-0.01085977,0.042357644,0.020670074155753098,0.025337173,-3.057102595,-75.11111111,-2.56E-04,6.212257419586254E-4,5.39680599298292E-4,45,1.0278618335723877,1.0937680006027222,6.011000156402588,0.5831670165061951,28.617645263671875,160.1999969482422,-86.9154973,40.3848053,-104.8211778,-12.35091372,-30.98470539,-0.021788862,0.013449018,6.923923931238286E-4,-44.76131123,-42.29081116,4.595739936828613,9.932983572666462,-0.252842551,-0.201043117,Drive
15,-0.008112,-0.006569887,2.8701748662781945E-4,9.916652707220281,-0.260132345,-0.204902862,0.9989690184593201,-0.012282474,-0.010851311,0.042335238,0.020648451,0.025461151,-3.057148366,-80.25,-2.09E-04,5.026146056338494E-4,7.531806053503335E-4,45,0.3889729976654053,1.103767991065979,6.631999969482422,0.513123631,41.130332946777344,160.1999969482422,-86.9154928,40.3848078,-104.8702224,-12.38019373,-30.98189938,-0.021741417,0.013330407214613215,9.05892392959518E-4,-44.810355,-42.32106731,4.597813892364502,9.916652707220281,-0.260132345,-0.204902862,Drive
16,0.001135317,-0.003337828,0.001584455,9.921635822185035,-0.254556835,-0.203090822,0.9989683628082275,-0.012262919,-0.010840387,0.042359239,0.020627642864162483,0.025421650917495337,-3.05709969,-87.44444444,-1.73E-04,1.9422569820765875E-4,4.4479169340315953E-4,45,0.37947332859039307,1.1137679815292358,7.466000080108643,0.19521158933639526,4.756955146789551,160.1999969482422,-86.9154958,40.3848081,-104.8885223,-12.36396775,-30.97823938,-0.021705834,0.013022018302666041,5.975034832728358E-4,-44.82816708,-42.30325527,4.601473922729492,9.921635822185035,-0.254556835,-0.203090822,Drive
17,-0.014223951,-0.002172546,0.002663223,9.896229559,-0.256322414,-0.200674768,0.9989668865805691,-0.012339271,-0.010799109,0.04238224,0.020538141661621993,0.025571205879299386,-3.057054003,-78.375,-1.62E-04,3.246979480518878E-4,2.194305687455587E-4,45,0.6293647885322571,1.1237679719924927,7.815999984741211,0.22683098912239075,338.27984619140625,160.1999969482422,-86.9154978,40.3848102,-104.8738823,-12.38421971,-30.96128136,-0.021693973,0.01315249,3.7214235635474324E-4,-44.81364902,-42.3241172,4.618797917366027,9.896229559,-0.256322414,-0.200674768,Drive
18,-0.008620364,-0.002830099,0.00266663,9.877516663,-0.260411119,-0.202138339,0.998965801,-0.012544332,-0.010887434,0.042324915,0.020698956910122947,0.02598725,-3.057174812,-81.77777778,-6.67E-05,2.891146137098809E-4,7.769028357799771E-4,45,0.32572993636131287,1.1337679624557495,8.555999755859375,0.28763771057128906,266.6093444824219,160.1999969482422,-86.9155032,40.3848083,-104.8898647,-12.41789168,-30.94615332,-0.021599084,0.013116907124922982,9.296146149123178E-4,-44.83011917,-42.35766724,4.632949938774109,9.877516663,-0.260411119,-0.202138339,Drive
19,-3.59E-04,-0.005031966,3.5952819654574763E-4,9.880043140892843,-0.263497978,-0.20304436,0.9989632878165978,-0.012643958,-0.010845233,0.042365583,0.020605165,0.026183611462609127,-3.057094129,-76.375,-3.17E-04,2.93676567357929E-4,1.5271181697384096E-4,45,0.2657065987586975,1.1437679529190063,9.201999664,0.35974255204200745,262.6781921386719,160.1999969482422,-86.9155081,40.3848077,-104.860828,-12.38995371,-30.95261946,-0.021849536,0.013121469129915707,3.0542360708260763E-4,-44.80071693,-42.33021725,4.627703895568848,9.880043140892843,-0.263497978,-0.20304436,Drive
20,0.003573612,-7.97E-04,0.004197642,9.887825614040338,-0.258747179,-0.19962936,0.9989636835542698,-0.012594507,-0.010850914,0.042369528,0.020620569315494844,0.026085357407777055,-3.057085486,-77.88888889,-9.04E-05,6.56809085342599E-4,8.243472808158224E-4,45,0.5470831990242004,1.1537679433822632,9.118000030517578,0.26152220368385315,273.66192626953125,160.1999969482422,-86.9155103,40.3848083,-104.8577785,-12.41227972,-30.97970331,-0.021622806,0.013484601618595493,9.77059068425007E-4,-44.79839924,-42.3525433,4.600375919342041,9.887825614040338,-0.258747179,-0.19962936,Drive
21,0.003011416,-0.003705709,0.002881147,9.891928830193084,-0.260155577,-0.200210142,0.9989639717398338,-0.012513399,-0.010805822,0.042398327,0.020536506910202573,0.025920064,-3.057025162,-89.88888889,-2.45E-04,3.365590474432678E-4,5.040972570445641E-4,45,0.44271886348724365,1.163767934,8.751000404,0.24322856962680817,262.0235290527344,160.1999969482422,-86.915513,40.3848076,-104.8809581,-12.40471579,-30.96750345,-0.021777001,0.013164351635513086,6.568090508701008E-4,-44.82096924,-42.34424736,4.612697920799255,9.891928830193084,-0.260155577,-0.200210142,Drive
22,0.016904367983919904,5.469248422141214E-4,0.002232562,9.919948651952652,-0.254443584,-0.200349531,0.998963263,-0.012423493,-0.01076239,0.042452433,0.020455854700751674,0.025737843340606366,-3.056914056,-79.375,-1.62E-04,3.7214238178527473E-4,5.75263918947103E-4,45,0.452216774,1.1737680435180664,8.480999946594238,0.14085157215595245,267.5461730957031,160.1999969482422,-86.9155137,40.3848077,-104.8416743,-12.36872566,-30.99409941,-0.021693973,0.013199934957422388,7.279757088167792E-4,-44.78144135,-42.30837948,4.586345858573914,9.919948651952652,-0.254443584,-0.200349531,Drive
