seconds_elapsed,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,gyroscope_z,gyroscope_y,gyroscope_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,magnetometer_z,magnetometer_y,magnetometer_x,accelerometer_z,accelerometer_y,accelerometer_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,microphone_dBFS,class
10,10.102468127185858,1.030560253694364,-1.015076604,0.08933048,0.006823104,-0.043751194,-109.60919,50.70795703887939,-0.242414,0.5118882462237645,0.052332347,-0.00956738,0.8566561248695966,0.10040493920734785,-0.036388882,-1.074902863,45,0.23342742025852203,1.7332274913787842,12.333000183105469,1.0530227422714233,283.68133544921875,154.79998779296875,-86.9102494,40.4257363,10.102468127185858,1.030560253694364,-1.015076604,-48.04921101,7.087345840930939,28.07768953323364,0.25115752914576855,0.6694458920544791,-0.022224608,0.067798115,0.023182544,-0.043711161,-34,Campus
11,10.481053963448238,0.12474620786667304,-0.675763312,-0.022401192,-0.050869342,-0.165386896,-109.5883279,50.43333522796631,-5.02164191,0.522658349,0.014006667412157415,-0.026843816,0.8504019906219927,0.05095838,0.031133191,-1.102714521,45,0.23822125792503357,1.7431575059890747,10.697999954223633,1.1187195777893066,284.70062255859375,154.79998779296875,-86.9102638,40.4257337,10.481053963448238,0.12474620786667304,-0.675763312,-48.02834896,6.814919845871628,23.297973575592042,0.5787720633941946,0.436463042,-0.171165299,-0.043933557,-0.034502493,-0.165357244,-15.22222222,Campus
12,9.510233333477608,-0.105048366,0.31275515015183303,-0.055790224,0.087429736,0.21146879902163757,-107.203228,51.187782783508304,-9.24918582,0.5492266914219532,-0.004845691,-0.008433299,0.8345574140548706,0.001547723,0.019665343253489006,-1.164252403,45,0.4156074821949005,1.7531477212905884,8.645000457763672,1.6555277109146118,281.19024658203125,154.79998779296875,-86.9102957,40.4257479,9.510233333477608,-0.105048366,0.31275515015183303,-45.64337105,7.567537877559662,19.071161575317383,-0.517566824,0.099081616,0.3620494926728091,-0.077322588,0.10379066382923606,0.21154885905460247,-20.875,Campus
13,9.193480131,-0.395370386,-0.658020417,-0.004957946,0.00132103,0.01719861,-103.5995919,47.058326950073244,-5.067879901,0.574626917,0.046395688,-0.016491436,0.8156107363191624,0.09484064,-0.026195833,-1.226193136,45,0.43109646439552307,1.7632333040237427,7.190000057220459,2.0454206466674805,274.1600341796875,154.79998779296875,-86.9103453,40.4257661,9.193480131,-0.395370386,-0.658020417,-42.03900299,3.438447926752269,23.25356559753418,-0.58973755,-0.653479264,0.2621237120582062,-0.026485865,0.017687886,0.017240123943656285,-15.66666667,Campus
14,10.57740855911403,0.25812864758399795,-0.348112131,-0.255738915,0.069701826,0.007100354,-103.0308279,44.62259712219238,-4.876949902,0.5325421829825466,0.075134885,0.017955367892214268,0.8389083748882257,0.10945472233359096,-0.110499198,-1.12511641,45,0.40766939520835876,1.4826865196228027,6.526000022888184,2.112208843231201,273.64349365234375,154.79998779296875,-86.9103812,40.4257702,10.57740855911403,0.25812864758399795,-0.348112131,-41.47097122,1.0030839741975068,23.44327554702759,0.8783058333165438,-0.871420127,0.7089371559689346,-0.277266831,0.086062746,0.007167076,-12.375,Campus
15,9.753621384,-0.089672765,-0.776979126,-1.04076364,-0.10232285,0.1938609737288026,-101.8352281,62.42264102935791,-9.33995383,0.1790022191247401,0.086271234,0.024640243,0.9677168593823331,0.16196265700273216,-0.07390504,-0.360553991,45,0.40766939520835876,1.4826865196228027,6.526000022888184,2.112208843231201,273.64349365234375,154.79998779296875,-86.9103812,40.4257702,9.753621384,-0.089672765,-0.776979126,-40.27488319,18.802517657279967,18.98051568031311,-0.088253262,-0.798223706,0.8566669179397879,-1.062291552,-0.085958959,0.19393510686107052,-28.55555556,Campus
16,9.846848483224518,0.6050675977202296,-0.492814018,-0.007254554,-0.169689511,0.06605898,-104.5581459,71.05109046936035,-23.11533957,-0.048777337,0.016667747578625478,0.036937307,0.9966446763103448,0.036790842,-0.070488687,0.098821269,45,0.397994727,1.5025837421417236,6.340000152587891,1.6538156270980835,337.37384033203125,154.79998779296875,-86.9104144,40.4257841,9.846848483224518,0.6050675977202296,-0.492814018,-42.99792343,27.431455478668212,5.204031898975372,-0.013216875,-0.122993962,-0.156842974,-0.028786919,-0.153324146,0.066128664,-49,Campus
17,10.075792812606663,1.0348319054809534,-0.572340522,-0.084402648,0.035041487353737466,-0.009256687,-104.8809579,67.40768287658692,-24.1545355,-0.043094117,0.008984719,0.057437375778905474,0.9968578861309931,0.023538177,-0.114158501,0.087736987,45,0.39610832929611206,1.5125384330749512,6.399000168,1.627927303314209,353.4156799316406,154.79998779296875,-86.9104176,40.4258033,10.075792812606663,1.0348319054809534,-0.572340522,-43.32110119,23.786827583312988,4.164957910776138,0.23089295167189378,-0.071473423,-0.341058466,-0.105935011,0.051400741,-0.009196483,-40.125,Campus
18,9.86349372,0.6779267232756592,-0.898510708,-0.065634945,0.027442165980459128,-0.026006971,-104.8022681,69.03845657348633,-24.16380747,-0.086695336,0.027130163405813926,0.049443783021522955,0.9941615265549966,0.062930721,-0.093409526,0.17677360049729207,45,0.2875145375728607,1.5125384330749512,6.4070000648498535,1.4453247785568237,349.4407653808594,154.79998779296875,-86.9104199,40.4258156,9.86349372,0.6779267232756592,-0.898510708,-43.24216721,25.418333492279054,4.156905930042267,0.002931748,-0.247359607,-0.277287251,-0.087167311,0.043809016,-0.025965457,-33.125,Campus
19,9.530908765,0.8505090642539621,-0.42911092,-0.030087193,0.011425215976981862,-0.010290999,-104.6566,68.18677452087402,-24.72451954,-0.065694369,0.017998374573597053,0.050911041,0.9960188090222554,0.042889121,-0.098986235,0.13392107601015313,45,0.28284844756126404,1.2477275133132935,6.40500021,1.4451096057891846,357.0943908691406,155,-86.9104142,40.4258306,9.530908765,0.8505090642539621,-0.42911092,-43.09649906,24.567017517089845,3.5950959300994874,-0.328463017,-0.129718885,-0.005594098,-0.051619558,0.027774277,-0.010258381,-27.22222222,Campus
20,9.805217988282731,0.560300914,-0.840804193,-0.031463084,-0.034785676,0.005365672,-104.3849062,69.06432114,-23.30102364,-0.080118799,0.034888757220966723,0.040036187,0.9948153530509727,0.076941378,-0.073637766,0.16390400112253947,45,0.28284844756126404,1.2477275133132935,6.40500021,1.4451096057891846,357.0943908691406,155,-86.9104142,40.4258306,9.805217988282731,0.560300914,-0.840804193,-42.82431709,25.44456344604492,5.018347899913788,-0.05978101,-0.169854013,-0.080784425,-0.052995446,-0.018408446,0.005416081,-29.88888889,Campus
21,9.763541078104556,0.5195677515969259,-0.626196467,-0.0643065,-0.013459393,-0.012912304,-104.236554,70.91530471801758,-24.94302156,-0.097287468,0.025213428888553574,0.029561555261432094,0.9941191204543253,0.056217984,-0.053609764,0.19668981534184762,45,0.283312052,1.2677146196365356,6.2779998779296875,1.4169082641601562,357.36004638671875,155,-86.9104111,40.4258591,9.763541078104556,0.5195677515969259,-0.626196467,-42.67633099,27.294815444946288,3.3775699234008787,-0.136698195,-0.011402113,-0.068698828,-0.085838865,0.002910421,-0.012867824,-36,Campus
22,10.024209925761589,0.001964301,-0.749678235,0.11510467681427966,0.056737628,-0.080164807,-103.2011402,71.26373688,-24.14013962,-0.061351831,0.027725218275326837,0.007549798,0.9971118175867691,0.056980986,-0.011150108,0.12341080931494537,45,0.23343709111213684,1.2776947021484375,6.072999954223633,1.4119595289230347,359.39276123046875,155,-86.9104112,40.4258717,10.024209925761589,0.001964301,-0.749678235,-41.64152725,27.64373540878296,4.180817894935608,0.089658098,-0.101672867,-0.176142779,0.09357231,0.073110412,-0.080121811,-35.77777778,Campus
23,9.891043107486466,0.11348193952614821,-0.523946851,0.060116563,-0.020587925,-0.033740413,-102.1542577,73.22000633239746,-23.3146875,-0.029398145,0.022451765081976334,0.010943999259784372,0.9987120495259183,0.04570546,-0.020039476,0.059124527,45,0.2226894348859787,1.297738790512085,5.427000045776367,1.4022516012191772,357.2986145019531,155,-86.910412,40.4258883,9.891043107486466,0.11348193952614821,-0.523946851,-40.59354725,29.59939535140991,5.004561896324158,-0.024404012,-0.07851611,-0.074818699,0.038584197152550646,-0.004209213,-0.033684074,-50.875,Campus
24,10.045612446312765,0.3802177747349861,-0.949938977,0.008141171,-0.060975008,0.031033117938967583,-104.4188216,71.97572868347169,-22.52449358,-0.040121855,0.038444162590555775,0.028053434626696613,0.996989482,0.08061954,-0.052323122,0.08298685,45,0.20692898333072662,1.298005462,5.081999778747559,1.4233319759368896,353.22943115234375,154.29998779296875,-86.9104163,40.4259063,10.045612446312765,0.3802177747349861,-0.949938977,-42.85859917,28.35633731842041,5.796097881793976,0.22508036511615642,-0.124865484,-0.15586818,-0.013391197,-0.044602229,0.031089457059369503,-30.22222222,Campus
25,9.940325408305936,0.11820659375053297,-0.335149077,0.064932174,-0.040028288,-0.031700304,-103.9964581,73.15351646,-24.26396954,-0.01336755,0.018123952,0.009780717,0.999519867,0.036710497,-0.018935097,0.027188233697283404,45,0.20692898333072662,1.298005462,5.081999778747559,1.4233319759368896,353.22943115234375,154.29998779296875,-86.9104163,40.4259063,9.940325408305936,0.11820659375053297,-0.335149077,-42.43672333,29.533637371063232,4.055767917633057,0.044735575185238734,-0.08771376,0.025478629,0.043399808,-0.023671812,-0.031654343,-56.25,Campus
26,9.907075641224685,-0.001948528,-0.3849134,-0.052623306,0.0283273,-0.033609942,-103.5576241,75.18018028259277,-24.64046162,-0.019901227,0.023974678659974373,0.002653971,0.9990577541508721,0.048189797,-0.003902937,0.039908258578948023,45,0.22833101451396942,1.3079437017440796,4.534999847412109,1.4331588745117188,354.0310974121094,154.29998779296875,-86.9104226,40.4259318,9.907075641224685,-0.001948528,-0.3849134,-41.99801121,31.559569339752198,3.679763927459717,-0.013172497,-0.036212381,0.09408847,-0.074155671,0.044688221541893426,-0.033566946,-64.55555556,Campus
